observable,sintetico,base,Q,timestamp,PROV,valor,frac
CBA,mean,Hp,2003-08-15,2023-10-29 01:36:06.931866,2,113050.0,0.02
Total,mean,Hp,2023-02-15,2023-10-29 13:15:24.713887,2,1.0,0.02
CBA,median,Hp,2003-08-15,2023-10-29 01:36:06.931866,2,101870.0,0.02
Total,mean,Hp,2023-02-15,2023-10-29 13:15:24.713887,10,1.0,0.02
CBT,mean,Hp,2003-08-15,2023-10-29 01:36:06.931866,2,270580.0,0.02
Total,mean,Hp,2023-02-15,2023-10-29 13:15:24.713887,18,1.0,0.02
CBT,median,Hp,2003-08-15,2023-10-29 01:36:06.931866,2,243810.0,0.02
Total,mean,Hp,2023-02-15,2023-10-29 13:15:24.713887,26,1.0,0.02
CB_EQUIV,mean,Hp,2003-08-15,2023-10-29 01:36:06.931866,2,2.486,0.02
Total,mean,Hp,2023-02-15,2023-10-29 13:15:24.713887,34,1.0,0.02
CB_EQUIV,median,Hp,2003-08-15,2023-10-29 01:36:06.931866,2,2.24,0.02
Total,mean,Hp,2023-02-15,2023-10-29 13:15:24.713887,42,1.0,0.02
Indigencia,mean,Hp,2003-08-15,2023-10-29 01:36:06.931866,2,0.4053,0.02
Total,mean,Hp,2023-02-15,2023-10-29 13:15:24.713887,50,1.0,0.02
Indigencia,sum,Hp,2003-08-15,2023-10-29 01:36:06.931866,2,71700.0,0.02
Total,mean,Hp,2023-02-15,2023-10-29 13:15:24.713887,58,1.0,0.02
P47T_hogar,mean,Hp,2003-08-15,2023-10-29 01:36:06.931866,2,143290.0,0.02
Total,mean,Hp,2023-02-15,2023-10-29 13:15:24.713887,66,1.0,0.02
P47T_hogar,median,Hp,2003-08-15,2023-10-29 01:36:06.931866,2,117110.0,0.02
Total,mean,Hp,2023-02-15,2023-10-29 13:15:24.713887,74,1.0,0.02
P47T_hogar,q10,Hp,2003-08-15,2023-10-29 01:36:06.931866,2,0.0,0.02
Total,mean,Hp,2023-02-15,2023-10-29 13:15:24.713887,82,1.0,0.02
P47T_hogar,q25,Hp,2003-08-15,2023-10-29 01:36:06.931866,2,17800.0,0.02
Total,mean,Hp,2023-02-15,2023-10-29 13:15:24.713887,90,1.0,0.02
P47T_hogar,q75,Hp,2003-08-15,2023-10-29 01:36:06.931866,2,234990.0,0.02
Total,sum,Hp,2023-02-15,2023-10-29 13:15:24.713887,2,104250.0,0.02
P47T_hogar,q90,Hp,2003-08-15,2023-10-29 01:36:06.931866,2,324970.0,0.02
Total,sum,Hp,2023-02-15,2023-10-29 13:15:24.713887,10,37300.0,0.02
Pobreza,mean,Hp,2003-08-15,2023-10-29 01:36:06.931866,2,1.0,0.02
Total,sum,Hp,2023-02-15,2023-10-29 13:15:24.713887,18,124400.0,0.02
Pobreza,sum,Hp,2003-08-15,2023-10-29 01:36:06.931866,2,176900.0,0.02
Total,sum,Hp,2023-02-15,2023-10-29 13:15:24.713887,26,52400.0,0.02
Total,mean,Hp,2003-08-15,2023-10-29 01:36:06.931866,2,1.0,0.02
Total,sum,Hp,2023-02-15,2023-10-29 13:15:24.713887,34,70700.0,0.02
Total,sum,Hp,2003-08-15,2023-10-29 01:36:06.931866,2,176900.0,0.02
Total,sum,Hp,2023-02-15,2023-10-29 13:15:24.713887,42,26750.0,0.02
gap_indigencia,mean,Hp,2003-08-15,2023-10-29 01:36:06.931866,2,30230.0,0.02
Total,sum,Hp,2023-02-15,2023-10-29 13:15:24.713887,50,204350.0,0.02
gap_indigencia,median,Hp,2003-08-15,2023-10-29 01:36:06.931866,2,26450.0,0.02
Total,sum,Hp,2023-02-15,2023-10-29 13:15:24.713887,58,64900.0,0.02
gap_pobreza,mean,Hp,2003-08-15,2023-10-29 01:36:06.931866,2,-127300.0,0.02
Total,sum,Hp,2023-02-15,2023-10-29 13:15:24.713887,66,147750.0,0.02
gap_pobreza,median,Hp,2003-08-15,2023-10-29 01:36:06.931866,2,-92150.0,0.02
Total,sum,Hp,2023-02-15,2023-10-29 13:15:24.713887,74,55450.0,0.02
CBA,mean,Hp,2003-11-15,2023-10-29 01:37:12.934519,2,111530.0,0.02
Total,sum,Hp,2023-02-15,2023-10-29 13:15:24.713887,82,307750.0,0.02
CBA,median,Hp,2003-11-15,2023-10-29 01:37:12.934519,2,101410.0,0.02
Total,sum,Hp,2023-02-15,2023-10-29 13:15:24.713887,90,161350.0,0.02
CBT,mean,Hp,2003-11-15,2023-10-29 01:37:12.934519,2,266940.0,0.02
Pobreza,mean,Hp,2023-02-15,2023-10-29 13:15:24.713887,2,1.0,0.02
CBT,median,Hp,2003-11-15,2023-10-29 01:37:12.934519,2,242720.0,0.02
Pobreza,mean,Hp,2023-02-15,2023-10-29 13:15:24.713887,10,1.0,0.02
CB_EQUIV,mean,Hp,2003-11-15,2023-10-29 01:37:12.934519,2,2.452,0.02
Pobreza,mean,Hp,2023-02-15,2023-10-29 13:15:24.713887,18,1.0,0.02
CB_EQUIV,median,Hp,2003-11-15,2023-10-29 01:37:12.934519,2,2.23,0.02
Pobreza,mean,Hp,2023-02-15,2023-10-29 13:15:24.713887,26,1.0,0.02
Indigencia,mean,Hp,2003-11-15,2023-10-29 01:37:12.934519,2,0.385,0.02
Pobreza,mean,Hp,2023-02-15,2023-10-29 13:15:24.713887,34,1.0,0.02
Indigencia,sum,Hp,2003-11-15,2023-10-29 01:37:12.934519,2,69050.0,0.02
Pobreza,mean,Hp,2023-02-15,2023-10-29 13:15:24.713887,42,1.0,0.02
P47T_hogar,mean,Hp,2003-11-15,2023-10-29 01:37:12.934519,2,141680.0,0.02
Pobreza,mean,Hp,2023-02-15,2023-10-29 13:15:24.713887,50,1.0,0.02
P47T_hogar,median,Hp,2003-11-15,2023-10-29 01:37:12.934519,2,117020.0,0.02
Pobreza,mean,Hp,2023-02-15,2023-10-29 13:15:24.713887,58,1.0,0.02
P47T_hogar,q10,Hp,2003-11-15,2023-10-29 01:37:12.934519,2,0.0,0.02
Pobreza,mean,Hp,2023-02-15,2023-10-29 13:15:24.713887,66,1.0,0.02
P47T_hogar,q25,Hp,2003-11-15,2023-10-29 01:37:12.934519,2,31670.0,0.02
Pobreza,mean,Hp,2023-02-15,2023-10-29 13:15:24.713887,74,1.0,0.02
P47T_hogar,q75,Hp,2003-11-15,2023-10-29 01:37:12.934519,2,224410.0,0.02
Pobreza,mean,Hp,2023-02-15,2023-10-29 13:15:24.713887,82,1.0,0.02
P47T_hogar,q90,Hp,2003-11-15,2023-10-29 01:37:12.934519,2,309790.0,0.02
Pobreza,mean,Hp,2023-02-15,2023-10-29 13:15:24.713887,90,1.0,0.02
Pobreza,mean,Hp,2003-11-15,2023-10-29 01:37:12.934519,2,1.0,0.02
Pobreza,sum,Hp,2023-02-15,2023-10-29 13:15:24.713887,2,104250.0,0.02
Pobreza,sum,Hp,2003-11-15,2023-10-29 01:37:12.934519,2,179350.0,0.02
Pobreza,sum,Hp,2023-02-15,2023-10-29 13:15:24.713887,10,37300.0,0.02
Total,mean,Hp,2003-11-15,2023-10-29 01:37:12.934519,2,1.0,0.02
Pobreza,sum,Hp,2023-02-15,2023-10-29 13:15:24.713887,18,124400.0,0.02
Total,sum,Hp,2003-11-15,2023-10-29 01:37:12.934519,2,179350.0,0.02
Pobreza,sum,Hp,2023-02-15,2023-10-29 13:15:24.713887,26,52400.0,0.02
gap_indigencia,mean,Hp,2003-11-15,2023-10-29 01:37:12.934519,2,30160.0,0.02
Pobreza,sum,Hp,2023-02-15,2023-10-29 13:15:24.713887,34,70700.0,0.02
gap_indigencia,median,Hp,2003-11-15,2023-10-29 01:37:12.934519,2,26160.0,0.02
Pobreza,sum,Hp,2023-02-15,2023-10-29 13:15:24.713887,42,26750.0,0.02
gap_pobreza,mean,Hp,2003-11-15,2023-10-29 01:37:12.934519,2,-125250.0,0.02
Pobreza,sum,Hp,2023-02-15,2023-10-29 13:15:24.713887,50,204350.0,0.02
gap_pobreza,median,Hp,2003-11-15,2023-10-29 01:37:12.934519,2,-87950.0,0.02
Pobreza,sum,Hp,2023-02-15,2023-10-29 13:15:24.713887,58,64900.0,0.02
CBA,mean,Hp,2004-02-15,2023-10-29 01:38:29.475838,2,116730.0,0.02
Pobreza,sum,Hp,2023-02-15,2023-10-29 13:15:24.713887,66,147750.0,0.02
CBA,median,Hp,2004-02-15,2023-10-29 01:38:29.475838,2,110050.0,0.02
