observable,sintetico,base,Q,timestamp,PROV,valor,frac
CBA,mean,M24,2003-08-15,2023-10-29 01:35:47.861943,2,169530.0,0.02
Total,mean,M24,2023-02-15,2023-10-29 13:10:10.408126,2,1.0,0.02
CBA,median,M24,2003-08-15,2023-10-29 01:35:47.861943,2,101410.0,0.02
Total,mean,M24,2023-02-15,2023-10-29 13:10:10.408126,10,1.0,0.02
CBT,mean,M24,2003-08-15,2023-10-29 01:35:47.861943,2,405770.0,0.02
Total,mean,M24,2023-02-15,2023-10-29 13:10:10.408126,18,1.0,0.02
CBT,median,M24,2003-08-15,2023-10-29 01:35:47.861943,2,242720.0,0.02
Total,mean,M24,2023-02-15,2023-10-29 13:10:10.408126,26,1.0,0.02
CB_EQUIV,mean,M24,2003-08-15,2023-10-29 01:35:47.861943,2,3.728,0.02
Total,mean,M24,2023-02-15,2023-10-29 13:10:10.408126,34,1.0,0.02
CB_EQUIV,median,M24,2003-08-15,2023-10-29 01:35:47.861943,2,2.23,0.02
Total,mean,M24,2023-02-15,2023-10-29 13:10:10.408126,42,1.0,0.02
Indigencia,mean,M24,2003-08-15,2023-10-29 01:35:47.861943,2,0.0481,0.02
Total,mean,M24,2023-02-15,2023-10-29 13:10:10.408126,50,1.0,0.02
Indigencia,sum,M24,2003-08-15,2023-10-29 01:35:47.861943,2,94500.0,0.02
Total,mean,M24,2023-02-15,2023-10-29 13:10:10.408126,58,1.0,0.02
P47T_hogar,mean,M24,2003-08-15,2023-10-29 01:35:47.861943,2,1244830.0,0.02
Total,mean,M24,2023-02-15,2023-10-29 13:10:10.408126,66,1.0,0.02
P47T_hogar,median,M24,2003-08-15,2023-10-29 01:35:47.861943,2,552770.0,0.02
Total,mean,M24,2023-02-15,2023-10-29 13:10:10.408126,74,1.0,0.02
P47T_hogar,q10,M24,2003-08-15,2023-10-29 01:35:47.861943,2,166350.0,0.02
Total,mean,M24,2023-02-15,2023-10-29 13:10:10.408126,82,1.0,0.02
P47T_hogar,q25,M24,2003-08-15,2023-10-29 01:35:47.861943,2,289110.0,0.02
Total,mean,M24,2023-02-15,2023-10-29 13:10:10.408126,90,1.0,0.02
P47T_hogar,q75,M24,2003-08-15,2023-10-29 01:35:47.861943,2,936380.0,0.02
Total,sum,M24,2023-02-15,2023-10-29 13:10:10.408126,2,2160400.0,0.02
P47T_hogar,q90,M24,2003-08-15,2023-10-29 01:35:47.861943,2,1574310.0,0.02
Total,sum,M24,2023-02-15,2023-10-29 13:10:10.408126,10,222700.0,0.02
P47T_persona,mean,M24,2003-08-15,2023-10-29 01:35:47.861943,2,318800.0,0.02
Total,sum,M24,2023-02-15,2023-10-29 13:10:10.408126,18,598750.0,0.02
P47T_persona,median,M24,2003-08-15,2023-10-29 01:35:47.861943,2,251800.0,0.02
Total,sum,M24,2023-02-15,2023-10-29 13:10:10.408126,26,370000.0,0.02
P47T_persona,q10,M24,2003-08-15,2023-10-29 01:35:47.861943,2,0.0,0.02
Total,sum,M24,2023-02-15,2023-10-29 13:10:10.408126,34,299550.0,0.02
P47T_persona,q25,M24,2003-08-15,2023-10-29 01:35:47.861943,2,120500.0,0.02
Total,sum,M24,2023-02-15,2023-10-29 13:10:10.408126,42,217700.0,0.02
P47T_persona,q75,M24,2003-08-15,2023-10-29 01:35:47.861943,2,390010.0,0.02
Total,sum,M24,2023-02-15,2023-10-29 13:10:10.408126,50,1181000.0,0.02
P47T_persona,q90,M24,2003-08-15,2023-10-29 01:35:47.861943,2,677780.0,0.02
Total,sum,M24,2023-02-15,2023-10-29 13:10:10.408126,58,403650.0,0.02
Pobreza,mean,M24,2003-08-15,2023-10-29 01:35:47.861943,2,0.145,0.02
Total,sum,M24,2023-02-15,2023-10-29 13:10:10.408126,66,745950.0,0.02
Pobreza,sum,M24,2003-08-15,2023-10-29 01:35:47.861943,2,284800.0,0.02
Total,sum,M24,2023-02-15,2023-10-29 13:10:10.408126,74,292150.0,0.02
Total,mean,M24,2003-08-15,2023-10-29 01:35:47.861943,2,1.0,0.02
Total,sum,M24,2023-02-15,2023-10-29 13:10:10.408126,82,2187950.0,0.02
Total,sum,M24,2003-08-15,2023-10-29 01:35:47.861943,2,1964250.0,0.02
Total,sum,M24,2023-02-15,2023-10-29 13:10:10.408126,90,933550.0,0.02
gap_indigencia,mean,M24,2003-08-15,2023-10-29 01:35:47.861943,2,1075300.0,0.02
Pobreza,mean,M24,2023-02-15,2023-10-29 13:10:10.408126,2,0.0795,0.02
gap_indigencia,median,M24,2003-08-15,2023-10-29 01:35:47.861943,2,443600.0,0.02
Pobreza,mean,M24,2023-02-15,2023-10-29 13:10:10.408126,10,0.3163,0.02
gap_pobreza,mean,M24,2003-08-15,2023-10-29 01:35:47.861943,2,839070.0,0.02
Pobreza,mean,M24,2023-02-15,2023-10-29 13:10:10.408126,18,0.3824,0.02
gap_pobreza,median,M24,2003-08-15,2023-10-29 01:35:47.861943,2,300400.0,0.02
Pobreza,mean,M24,2023-02-15,2023-10-29 13:10:10.408126,26,0.2462,0.02
CBA,mean,M24,2003-11-15,2023-10-29 01:36:51.452271,2,169530.0,0.02
Pobreza,mean,M24,2023-02-15,2023-10-29 13:10:10.408126,34,0.4243,0.02
CBA,median,M24,2003-11-15,2023-10-29 01:36:51.452271,2,101410.0,0.02
Pobreza,mean,M24,2023-02-15,2023-10-29 13:10:10.408126,42,0.2111,0.02
CBT,mean,M24,2003-11-15,2023-10-29 01:36:51.452271,2,405770.0,0.02
