observable,sintetico,base,Q,timestamp,Region,valor,frac
CBA,mean,M24,2003-08-15,2023-10-29 01:35:46.577532,cuyo,147670.0,0.02
Total,mean,M24,2023-02-15,2023-10-29 13:10:05.576293,cuyo,1.0,0.02
CBA,median,M24,2003-08-15,2023-10-29 01:35:46.577532,cuyo,125240.0,0.02
Total,mean,M24,2023-02-15,2023-10-29 13:10:05.576293,noreste,1.0,0.02
CBT,mean,M24,2003-08-15,2023-10-29 01:35:46.577532,cuyo,376270.0,0.02
Total,mean,M24,2023-02-15,2023-10-29 13:10:05.576293,pampeana,1.0,0.02
CBT,median,M24,2003-08-15,2023-10-29 01:35:46.577532,cuyo,319120.0,0.02
Total,sum,M24,2023-02-15,2023-10-29 13:10:05.576293,cuyo,2123000.0,0.02
CB_EQUIV,mean,M24,2003-08-15,2023-10-29 01:35:46.577532,cuyo,3.643,0.02
Total,sum,M24,2023-02-15,2023-10-29 13:10:05.576293,noreste,2181600.0,0.02
CB_EQUIV,median,M24,2003-08-15,2023-10-29 01:35:46.577532,cuyo,3.09,0.02
Total,sum,M24,2023-02-15,2023-10-29 13:10:05.576293,pampeana,9428450.0,0.02
Indigencia,mean,M24,2003-08-15,2023-10-29 01:35:46.577532,cuyo,0.1546,0.02
Pobreza,mean,M24,2023-02-15,2023-10-29 13:10:05.576293,cuyo,0.3589,0.02
Indigencia,sum,M24,2003-08-15,2023-10-29 01:35:46.577532,cuyo,257050.0,0.02
Pobreza,mean,M24,2023-02-15,2023-10-29 13:10:05.576293,noreste,0.405,0.02
P47T_hogar,mean,M24,2003-08-15,2023-10-29 01:35:46.577532,cuyo,491420.0,0.02
Pobreza,mean,M24,2023-02-15,2023-10-29 13:10:05.576293,pampeana,0.2408,0.02
P47T_hogar,median,M24,2003-08-15,2023-10-29 01:35:46.577532,cuyo,331410.0,0.02
Pobreza,sum,M24,2023-02-15,2023-10-29 13:10:05.576293,cuyo,761850.0,0.02
P47T_hogar,q10,M24,2003-08-15,2023-10-29 01:35:46.577532,cuyo,74290.0,0.02
Pobreza,sum,M24,2023-02-15,2023-10-29 13:10:05.576293,noreste,883650.0,0.02
P47T_hogar,q25,M24,2003-08-15,2023-10-29 01:35:46.577532,cuyo,182400.0,0.02
Pobreza,sum,M24,2023-02-15,2023-10-29 13:10:05.576293,pampeana,2270350.0,0.02
P47T_hogar,q75,M24,2003-08-15,2023-10-29 01:35:46.577532,cuyo,525520.0,0.02
Indigencia,mean,M24,2023-02-15,2023-10-29 13:10:05.576293,cuyo,0.0606,0.02
P47T_hogar,q90,M24,2003-08-15,2023-10-29 01:35:46.577532,cuyo,759090.0,0.02
Indigencia,mean,M24,2023-02-15,2023-10-29 13:10:05.576293,noreste,0.109,0.02
P47T_persona,mean,M24,2003-08-15,2023-10-29 01:35:46.577532,cuyo,158770.0,0.02
Indigencia,mean,M24,2023-02-15,2023-10-29 13:10:05.576293,pampeana,0.0461,0.02
P47T_persona,median,M24,2003-08-15,2023-10-29 01:35:46.577532,cuyo,126180.0,0.02
Indigencia,sum,M24,2023-02-15,2023-10-29 13:10:05.576293,cuyo,128650.0,0.02
P47T_persona,q10,M24,2003-08-15,2023-10-29 01:35:46.577532,cuyo,0.0,0.02
Indigencia,sum,M24,2023-02-15,2023-10-29 13:10:05.576293,noreste,237750.0,0.02
P47T_persona,q25,M24,2003-08-15,2023-10-29 01:35:46.577532,cuyo,14460.0,0.02
Indigencia,sum,M24,2023-02-15,2023-10-29 13:10:05.576293,pampeana,434950.0,0.02
P47T_persona,q75,M24,2003-08-15,2023-10-29 01:35:46.577532,cuyo,240460.0,0.02
P47T_persona,mean,M24,2023-02-15,2023-10-29 13:10:05.576293,cuyo,180440.0,0.02
P47T_persona,q90,M24,2003-08-15,2023-10-29 01:35:46.577532,cuyo,339680.0,0.02
P47T_persona,mean,M24,2023-02-15,2023-10-29 13:10:05.576293,noreste,159200.0,0.02
Pobreza,mean,M24,2003-08-15,2023-10-29 01:35:46.577532,cuyo,0.4593,0.02
P47T_persona,mean,M24,2023-02-15,2023-10-29 13:10:05.576293,pampeana,214080.0,0.02
Pobreza,sum,M24,2003-08-15,2023-10-29 01:35:46.577532,cuyo,763700.0,0.02
P47T_persona,q10,M24,2023-02-15,2023-10-29 13:10:05.576293,cuyo,15140.0,0.02
Total,mean,M24,2003-08-15,2023-10-29 01:35:46.577532,cuyo,1.0,0.02
P47T_persona,q10,M24,2023-02-15,2023-10-29 13:10:05.576293,noreste,25150.0,0.02
Total,sum,M24,2003-08-15,2023-10-29 01:35:46.577532,cuyo,1662900.0,0.02
P47T_persona,q10,M24,2023-02-15,2023-10-29 13:10:05.576293,pampeana,24580.0,0.02
gap_indigencia,mean,M24,2003-08-15,2023-10-29 01:35:46.577532,cuyo,343750.0,0.02
P47T_persona,q25,M24,2023-02-15,2023-10-29 13:10:05.576293,cuyo,95710.0,0.02
gap_indigencia,median,M24,2003-08-15,2023-10-29 01:35:46.577532,cuyo,198620.0,0.02
P47T_persona,q25,M24,2023-02-15,2023-10-29 13:10:05.576293,noreste,77790.0,0.02
gap_pobreza,mean,M24,2003-08-15,2023-10-29 01:35:46.577532,cuyo,115150.0,0.02
P47T_persona,q25,M24,2023-02-15,2023-10-29 13:10:05.576293,pampeana,120500.0,0.02
gap_pobreza,median,M24,2003-08-15,2023-10-29 01:35:46.577532,cuyo,24720.0,0.02
P47T_persona,median,M24,2023-02-15,2023-10-29 13:10:05.576293,cuyo,162560.0,0.02
CBA,mean,M24,2003-08-15,2023-10-29 01:35:46.577532,gran_buenos_aires,170770.0,0.02
P47T_persona,median,M24,2023-02-15,2023-10-29 13:10:05.576293,noreste,135210.0,0.02
CBA,median,M24,2003-08-15,2023-10-29 01:35:46.577532,gran_buenos_aires,121420.0,0.02
P47T_persona,median,M24,2023-02-15,2023-10-29 13:10:05.576293,pampeana,191000.0,0.02
CBT,mean,M24,2003-08-15,2023-10-29 01:35:46.577532,gran_buenos_aires,408740.0,0.02
