observable,sintetico,base,Q,timestamp,Region,valor,frac
CBA,mean,H,2003-08-15,2023-10-29 01:36:00.203282,cuyo,116230.0,0.02
Total,mean,H,2023-02-15,2023-10-29 13:13:24.258557,cuyo,1.0,0.02
CBA,median,H,2003-08-15,2023-10-29 01:36:00.203282,cuyo,106190.0,0.02
Total,mean,H,2023-02-15,2023-10-29 13:13:24.258557,noreste,1.0,0.02
CBT,mean,H,2003-08-15,2023-10-29 01:36:00.203282,cuyo,296170.0,0.02
Total,mean,H,2023-02-15,2023-10-29 13:13:24.258557,pampeana,1.0,0.02
CBT,median,H,2003-08-15,2023-10-29 01:36:00.203282,cuyo,270580.0,0.02
Total,sum,H,2023-02-15,2023-10-29 13:13:24.258557,cuyo,1040600.0,0.02
CB_EQUIV,mean,H,2003-08-15,2023-10-29 01:36:00.203282,cuyo,2.868,0.02
Total,sum,H,2023-02-15,2023-10-29 13:13:24.258557,noreste,1147250.0,0.02
CB_EQUIV,median,H,2003-08-15,2023-10-29 01:36:00.203282,cuyo,2.62,0.02
Total,sum,H,2023-02-15,2023-10-29 13:13:24.258557,pampeana,4943200.0,0.02
Indigencia,mean,H,2003-08-15,2023-10-29 01:36:00.203282,cuyo,0.183,0.02
Pobreza,mean,H,2023-02-15,2023-10-29 13:13:24.258557,cuyo,0.3817,0.02
Indigencia,sum,H,2003-08-15,2023-10-29 01:36:00.203282,cuyo,149200.0,0.02
Pobreza,mean,H,2023-02-15,2023-10-29 13:13:24.258557,noreste,0.4366,0.02
P47T_hogar,mean,H,2003-08-15,2023-10-29 01:36:00.203282,cuyo,339460.0,0.02
Pobreza,mean,H,2023-02-15,2023-10-29 13:13:24.258557,pampeana,0.26,0.02
P47T_hogar,median,H,2003-08-15,2023-10-29 01:36:00.203282,cuyo,282900.0,0.02
Pobreza,sum,H,2023-02-15,2023-10-29 13:13:24.258557,cuyo,397150.0,0.02
P47T_hogar,q10,H,2003-08-15,2023-10-29 01:36:00.203282,cuyo,57480.0,0.02
Pobreza,sum,H,2023-02-15,2023-10-29 13:13:24.258557,noreste,500850.0,0.02
P47T_hogar,q25,H,2003-08-15,2023-10-29 01:36:00.203282,cuyo,135210.0,0.02
Pobreza,sum,H,2023-02-15,2023-10-29 13:13:24.258557,pampeana,1285400.0,0.02
P47T_hogar,q75,H,2003-08-15,2023-10-29 01:36:00.203282,cuyo,454700.0,0.02
Indigencia,mean,H,2023-02-15,2023-10-29 13:13:24.258557,cuyo,0.08,0.02
P47T_hogar,q90,H,2003-08-15,2023-10-29 01:36:00.203282,cuyo,646170.0,0.02
Indigencia,mean,H,2023-02-15,2023-10-29 13:13:24.258557,noreste,0.1382,0.02
Pobreza,mean,H,2003-08-15,2023-10-29 01:36:00.203282,cuyo,0.4747,0.02
Indigencia,mean,H,2023-02-15,2023-10-29 13:13:24.258557,pampeana,0.0616,0.02
Pobreza,sum,H,2003-08-15,2023-10-29 01:36:00.203282,cuyo,387000.0,0.02
Indigencia,sum,H,2023-02-15,2023-10-29 13:13:24.258557,cuyo,83250.0,0.02
Total,mean,H,2003-08-15,2023-10-29 01:36:00.203282,cuyo,1.0,0.02
Indigencia,sum,H,2023-02-15,2023-10-29 13:13:24.258557,noreste,158550.0,0.02
Total,sum,H,2003-08-15,2023-10-29 01:36:00.203282,cuyo,815250.0,0.02
Indigencia,sum,H,2023-02-15,2023-10-29 13:13:24.258557,pampeana,304400.0,0.02
gap_indigencia,mean,H,2003-08-15,2023-10-29 01:36:00.203282,cuyo,223230.0,0.02
P47T_hogar,mean,H,2023-02-15,2023-10-29 13:13:24.258557,cuyo,395420.0,0.02
gap_indigencia,median,H,2003-08-15,2023-10-29 01:36:00.203282,cuyo,159970.0,0.02
P47T_hogar,mean,H,2023-02-15,2023-10-29 13:13:24.258557,noreste,333510.0,0.02
gap_pobreza,mean,H,2003-08-15,2023-10-29 01:36:00.203282,cuyo,43290.0,0.02
P47T_hogar,mean,H,2023-02-15,2023-10-29 13:13:24.258557,pampeana,439250.0,0.02
gap_pobreza,median,H,2003-08-15,2023-10-29 01:36:00.203282,cuyo,14180.0,0.02
P47T_hogar,q10,H,2023-02-15,2023-10-29 13:13:24.258557,cuyo,129120.0,0.02
CBA,mean,H,2003-08-15,2023-10-29 01:36:00.203282,gran_buenos_aires,113540.0,0.02
P47T_hogar,q10,H,2023-02-15,2023-10-29 13:13:24.258557,noreste,95710.0,0.02
CBA,median,H,2003-08-15,2023-10-29 01:36:00.203282,gran_buenos_aires,103690.0,0.02
P47T_hogar,q10,H,2023-02-15,2023-10-29 13:13:24.258557,pampeana,141580.0,0.02
CBT,mean,H,2003-08-15,2023-10-29 01:36:00.203282,gran_buenos_aires,271750.0,0.02
P47T_hogar,q25,H,2023-02-15,2023-10-29 13:13:24.258557,cuyo,209430.0,0.02
CBT,median,H,2003-08-15,2023-10-29 01:36:00.203282,gran_buenos_aires,248160.0,0.02
P47T_hogar,q25,H,2023-02-15,2023-10-29 13:13:24.258557,noreste,166350.0,0.02
CB_EQUIV,mean,H,2003-08-15,2023-10-29 01:36:00.203282,gran_buenos_aires,2.497,0.02
P47T_hogar,q25,H,2023-02-15,2023-10-29 13:13:24.258557,pampeana,224410.0,0.02
