observable,sintetico,base,Q,timestamp,PROV,valor,frac
CBA,mean,H,2003-08-15,2023-10-29 01:36:00.667761,2,92790.0,0.02
Total,mean,H,2023-02-15,2023-10-29 13:13:25.775340,2,1.0,0.02
CBA,median,H,2003-08-15,2023-10-29 01:36:00.667761,2,80040.0,0.02
Total,mean,H,2023-02-15,2023-10-29 13:13:25.775340,10,1.0,0.02
CBT,mean,H,2003-08-15,2023-10-29 01:36:00.667761,2,222080.0,0.02
Total,mean,H,2023-02-15,2023-10-29 13:13:25.775340,18,1.0,0.02
CBT,median,H,2003-08-15,2023-10-29 01:36:00.667761,2,191570.0,0.02
Total,mean,H,2023-02-15,2023-10-29 13:13:25.775340,26,1.0,0.02
CB_EQUIV,mean,H,2003-08-15,2023-10-29 01:36:00.667761,2,2.04,0.02
Total,mean,H,2023-02-15,2023-10-29 13:13:25.775340,34,1.0,0.02
CB_EQUIV,median,H,2003-08-15,2023-10-29 01:36:00.667761,2,1.76,0.02
Total,mean,H,2023-02-15,2023-10-29 13:13:25.775340,42,1.0,0.02
Indigencia,mean,H,2003-08-15,2023-10-29 01:36:00.667761,2,0.0664,0.02
Total,mean,H,2023-02-15,2023-10-29 13:13:25.775340,50,1.0,0.02
Indigencia,sum,H,2003-08-15,2023-10-29 01:36:00.667761,2,71700.0,0.02
Total,mean,H,2023-02-15,2023-10-29 13:13:25.775340,58,1.0,0.02
P47T_hogar,mean,H,2003-08-15,2023-10-29 01:36:00.667761,2,602970.0,0.02
Total,mean,H,2023-02-15,2023-10-29 13:13:25.775340,66,1.0,0.02
P47T_hogar,median,H,2003-08-15,2023-10-29 01:36:00.667761,2,427640.0,0.02
Total,mean,H,2023-02-15,2023-10-29 13:13:25.775340,74,1.0,0.02
P47T_hogar,q10,H,2003-08-15,2023-10-29 01:36:00.667761,2,120500.0,0.02
Total,mean,H,2023-02-15,2023-10-29 13:13:25.775340,82,1.0,0.02
P47T_hogar,q25,H,2003-08-15,2023-10-29 01:36:00.667761,2,234990.0,0.02
Total,mean,H,2023-02-15,2023-10-29 13:13:25.775340,90,1.0,0.02
P47T_hogar,q75,H,2003-08-15,2023-10-29 01:36:00.667761,2,762350.0,0.02
Total,sum,H,2023-02-15,2023-10-29 13:13:25.775340,2,1173800.0,0.02
P47T_hogar,q90,H,2003-08-15,2023-10-29 01:36:00.667761,2,1254660.0,0.02
Total,sum,H,2023-02-15,2023-10-29 13:13:25.775340,10,108750.0,0.02
Pobreza,mean,H,2003-08-15,2023-10-29 01:36:00.667761,2,0.1639,0.02
Total,sum,H,2023-02-15,2023-10-29 13:13:25.775340,18,302850.0,0.02
Pobreza,sum,H,2003-08-15,2023-10-29 01:36:00.667761,2,176900.0,0.02
Total,sum,H,2023-02-15,2023-10-29 13:13:25.775340,26,199450.0,0.02
Total,mean,H,2003-08-15,2023-10-29 01:36:00.667761,2,1.0,0.02
Total,sum,H,2023-02-15,2023-10-29 13:13:25.775340,34,157700.0,0.02
Total,sum,H,2003-08-15,2023-10-29 01:36:00.667761,2,1079400.0,0.02
Total,sum,H,2023-02-15,2023-10-29 13:13:25.775340,42,122000.0,0.02
gap_indigencia,mean,H,2003-08-15,2023-10-29 01:36:00.667761,2,510180.0,0.02
Total,sum,H,2023-02-15,2023-10-29 13:13:25.775340,50,575550.0,0.02
gap_indigencia,median,H,2003-08-15,2023-10-29 01:36:00.667761,2,344530.0,0.02
Total,sum,H,2023-02-15,2023-10-29 13:13:25.775340,58,216600.0,0.02
gap_pobreza,mean,H,2003-08-15,2023-10-29 01:36:00.667761,2,380880.0,0.02
Total,sum,H,2023-02-15,2023-10-29 13:13:25.775340,66,359050.0,0.02
gap_pobreza,median,H,2003-08-15,2023-10-29 01:36:00.667761,2,234930.0,0.02
Total,sum,H,2023-02-15,2023-10-29 13:13:25.775340,74,152150.0,0.02
CBA,mean,H,2003-11-15,2023-10-29 01:37:04.662675,2,92790.0,0.02
Total,sum,H,2023-02-15,2023-10-29 13:13:25.775340,82,1137650.0,0.02
CBA,median,H,2003-11-15,2023-10-29 01:37:04.662675,2,80040.0,0.02
Total,sum,H,2023-02-15,2023-10-29 13:13:25.775340,90,433000.0,0.02
CBT,mean,H,2003-11-15,2023-10-29 01:37:04.662675,2,222080.0,0.02
Pobreza,mean,H,2023-02-15,2023-10-29 13:13:25.775340,2,0.0888,0.02
CBT,median,H,2003-11-15,2023-10-29 01:37:04.662675,2,191570.0,0.02
Pobreza,mean,H,2023-02-15,2023-10-29 13:13:25.775340,10,0.343,0.02
CB_EQUIV,mean,H,2003-11-15,2023-10-29 01:37:04.662675,2,2.04,0.02
Pobreza,mean,H,2023-02-15,2023-10-29 13:13:25.775340,18,0.4108,0.02
CB_EQUIV,median,H,2003-11-15,2023-10-29 01:37:04.662675,2,1.76,0.02
Pobreza,mean,H,2023-02-15,2023-10-29 13:13:25.775340,26,0.2627,0.02
Indigencia,mean,H,2003-11-15,2023-10-29 01:37:04.662675,2,0.064,0.02
Pobreza,mean,H,2023-02-15,2023-10-29 13:13:25.775340,34,0.4483,0.02
Indigencia,sum,H,2003-11-15,2023-10-29 01:37:04.662675,2,69050.0,0.02
Pobreza,mean,H,2023-02-15,2023-10-29 13:13:25.775340,42,0.2193,0.02
P47T_hogar,mean,H,2003-11-15,2023-10-29 01:37:04.662675,2,550060.0,0.02
Pobreza,mean,H,2023-02-15,2023-10-29 13:13:25.775340,50,0.3551,0.02
P47T_hogar,median,H,2003-11-15,2023-10-29 01:37:04.662675,2,424420.0,0.02
Pobreza,mean,H,2023-02-15,2023-10-29 13:13:25.775340,58,0.2996,0.02
P47T_hogar,q10,H,2003-11-15,2023-10-29 01:37:04.662675,2,107620.0,0.02
Pobreza,mean,H,2023-02-15,2023-10-29 13:13:25.775340,66,0.4115,0.02
P47T_hogar,q25,H,2003-11-15,2023-10-29 01:37:04.662675,2,234990.0,0.02
Pobreza,mean,H,2023-02-15,2023-10-29 13:13:25.775340,74,0.3644,0.02
P47T_hogar,q75,H,2003-11-15,2023-10-29 01:37:04.662675,2,697760.0,0.02
Pobreza,mean,H,2023-02-15,2023-10-29 13:13:25.775340,82,0.2705,0.02
P47T_hogar,q90,H,2003-11-15,2023-10-29 01:37:04.662675,2,1079920.0,0.02
Pobreza,mean,H,2023-02-15,2023-10-29 13:13:25.775340,90,0.3726,0.02
Pobreza,mean,H,2003-11-15,2023-10-29 01:37:04.662675,2,0.1662,0.02
Pobreza,sum,H,2023-02-15,2023-10-29 13:13:25.775340,2,104250.0,0.02
Pobreza,sum,H,2003-11-15,2023-10-29 01:37:04.662675,2,179350.0,0.02
Pobreza,sum,H,2023-02-15,2023-10-29 13:13:25.775340,10,37300.0,0.02
Total,mean,H,2003-11-15,2023-10-29 01:37:04.662675,2,1.0,0.02
Pobreza,sum,H,2023-02-15,2023-10-29 13:13:25.775340,18,124400.0,0.02
Total,sum,H,2003-11-15,2023-10-29 01:37:04.662675,2,1079400.0,0.02
Pobreza,sum,H,2023-02-15,2023-10-29 13:13:25.775340,26,52400.0,0.02
gap_indigencia,mean,H,2003-11-15,2023-10-29 01:37:04.662675,2,457270.0,0.02
Pobreza,sum,H,2023-02-15,2023-10-29 13:13:25.775340,34,70700.0,0.02
gap_indigencia,median,H,2003-11-15,2023-10-29 01:37:04.662675,2,337890.0,0.02
Pobreza,sum,H,2023-02-15,2023-10-29 13:13:25.775340,42,26750.0,0.02
gap_pobreza,mean,H,2003-11-15,2023-10-29 01:37:04.662675,2,327980.0,0.02
Pobreza,sum,H,2023-02-15,2023-10-29 13:13:25.775340,50,204350.0,0.02
gap_pobreza,median,H,2003-11-15,2023-10-29 01:37:04.662675,2,226560.0,0.02
Pobreza,sum,H,2023-02-15,2023-10-29 13:13:25.775340,58,64900.0,0.02
CBA,mean,H,2004-02-15,2023-10-29 01:38:18.491400,2,92600.0,0.02
Pobreza,sum,H,2023-02-15,2023-10-29 13:13:25.775340,66,147750.0,0.02
CBA,median,H,2004-02-15,2023-10-29 01:38:18.491400,2,80040.0,0.02
Pobreza,sum,H,2023-02-15,2023-10-29 13:13:25.775340,74,55450.0,0.02
CBT,mean,H,2004-02-15,2023-10-29 01:38:18.491400,2,221640.0,0.02
Pobreza,sum,H,2023-02-15,2023-10-29 13:13:25.775340,82,307750.0,0.02
CBT,median,H,2004-02-15,2023-10-29 01:38:18.491400,2,191570.0,0.02
Pobreza,sum,H,2023-02-15,2023-10-29 13:13:25.775340,90,161350.0,0.02
CB_EQUIV,mean,H,2004-02-15,2023-10-29 01:38:18.491400,2,2.036,0.02
Indigencia,mean,H,2023-02-15,2023-10-29 13:13:25.775340,2,0.0218,0.02
CB_EQUIV,median,H,2004-02-15,2023-10-29 01:38:18.491400,2,1.76,0.02
Indigencia,mean,H,2023-02-15,2023-10-29 13:13:25.775340,10,0.0979,0.02
Indigencia,mean,H,2004-02-15,2023-10-29 01:38:18.491400,2,0.0456,0.02
Indigencia,mean,H,2023-02-15,2023-10-29 13:13:25.775340,18,0.1238,0.02
Indigencia,sum,H,2004-02-15,2023-10-29 01:38:18.491400,2,49700.0,0.02
Indigencia,mean,H,2023-02-15,2023-10-29 13:13:25.775340,26,0.0544,0.02
P47T_hogar,mean,H,2004-02-15,2023-10-29 01:38:18.491400,2,598470.0,0.02
Indigencia,mean,H,2023-02-15,2023-10-29 13:13:25.775340,34,0.1443,0.02
P47T_hogar,median,H,2004-02-15,2023-10-29 01:38:18.491400,2,467530.0,0.02
Indigencia,mean,H,2023-02-15,2023-10-29 13:13:25.775340,42,0.0541,0.02
P47T_hogar,q10,H,2004-02-15,2023-10-29 01:38:18.491400,2,135210.0,0.02
Indigencia,mean,H,2023-02-15,2023-10-29 13:13:25.775340,50,0.0701,0.02
P47T_hogar,q25,H,2004-02-15,2023-10-29 01:38:18.491400,2,247730.0,0.02
Indigencia,mean,H,2023-02-15,2023-10-29 13:13:25.775340,58,0.0609,0.02
P47T_hogar,q75,H,2004-02-15,2023-10-29 01:38:18.491400,2,754860.0,0.02
Indigencia,mean,H,2023-02-15,2023-10-29 13:13:25.775340,66,0.1329,0.02
P47T_hogar,q90,H,2004-02-15,2023-10-29 01:38:18.491400,2,1130760.0,0.02
Indigencia,mean,H,2023-02-15,2023-10-29 13:13:25.775340,74,0.0713,0.02
Pobreza,mean,H,2004-02-15,2023-10-29 01:38:18.491400,2,0.1347,0.02
Indigencia,mean,H,2023-02-15,2023-10-29 13:13:25.775340,82,0.07,0.02
Pobreza,sum,H,2004-02-15,2023-10-29 01:38:18.491400,2,146900.0,0.02
Indigencia,mean,H,2023-02-15,2023-10-29 13:13:25.775340,90,0.0997,0.02
Total,mean,H,2004-02-15,2023-10-29 01:38:18.491400,2,1.0,0.02
Indigencia,sum,H,2023-02-15,2023-10-29 13:13:25.775340,2,25600.0,0.02
Total,sum,H,2004-02-15,2023-10-29 01:38:18.491400,2,1090600.0,0.02
Indigencia,sum,H,2023-02-15,2023-10-29 13:13:25.775340,10,10650.0,0.02
gap_indigencia,mean,H,2004-02-15,2023-10-29 01:38:18.491400,2,505870.0,0.02
Indigencia,sum,H,2023-02-15,2023-10-29 13:13:25.775340,18,37500.0,0.02
gap_indigencia,median,H,2004-02-15,2023-10-29 01:38:18.491400,2,372425.0,0.02
Indigencia,sum,H,2023-02-15,2023-10-29 13:13:25.775340,26,10850.0,0.02
gap_pobreza,mean,H,2004-02-15,2023-10-29 01:38:18.491400,2,376830.0,0.02
Indigencia,sum,H,2023-02-15,2023-10-29 13:13:25.775340,34,22750.0,0.02
gap_pobreza,median,H,2004-02-15,2023-10-29 01:38:18.491400,2,248130.0,0.02
Indigencia,sum,H,2023-02-15,2023-10-29 13:13:25.775340,42,6600.0,0.02
CBA,mean,H,2004-05-15,2023-10-29 01:39:46.018379,2,92600.0,0.02
Indigencia,sum,H,2023-02-15,2023-10-29 13:13:25.775340,50,40350.0,0.02
CBA,median,H,2004-05-15,2023-10-29 01:39:46.018379,2,80040.0,0.02
Indigencia,sum,H,2023-02-15,2023-10-29 13:13:25.775340,58,13200.0,0.02
CBT,mean,H,2004-05-15,2023-10-29 01:39:46.018379,2,221640.0,0.02
Indigencia,sum,H,2023-02-15,2023-10-29 13:13:25.775340,66,47700.0,0.02
CBT,median,H,2004-05-15,2023-10-29 01:39:46.018379,2,191570.0,0.02
Indigencia,sum,H,2023-02-15,2023-10-29 13:13:25.775340,74,10850.0,0.02
CB_EQUIV,mean,H,2004-05-15,2023-10-29 01:39:46.018379,2,2.036,0.02
Indigencia,sum,H,2023-02-15,2023-10-29 13:13:25.775340,82,79650.0,0.02
CB_EQUIV,median,H,2004-05-15,2023-10-29 01:39:46.018379,2,1.76,0.02
Indigencia,sum,H,2023-02-15,2023-10-29 13:13:25.775340,90,43150.0,0.02
Indigencia,mean,H,2004-05-15,2023-10-29 01:39:46.018379,2,0.0447,0.02
P47T_hogar,mean,H,2023-02-15,2023-10-29 13:13:25.775340,2,595130.0,0.02
Indigencia,sum,H,2004-05-15,2023-10-29 01:39:46.018379,2,48700.0,0.02
P47T_hogar,mean,H,2023-02-15,2023-10-29 13:13:25.775340,10,370490.0,0.02
P47T_hogar,mean,H,2004-05-15,2023-10-29 01:39:46.018379,2,523060.0,0.02
P47T_hogar,mean,H,2023-02-15,2023-10-29 13:13:25.775340,18,349920.0,0.02
P47T_hogar,median,H,2004-05-15,2023-10-29 01:39:46.018379,2,404670.0,0.02
P47T_hogar,mean,H,2023-02-15,2023-10-29 13:13:25.775340,26,565790.0,0.02
