observable,sintetico,base,Q,timestamp,Total,valor,frac
CBA,mean,Hi,2003-08-15,2023-10-29 01:36:12.008965,True,140380.0,0.02
Total,mean,Hi,2023-02-15,2023-10-29 13:17:18.379314,True,1.0,0.02
CBA,median,Hi,2003-08-15,2023-10-29 01:36:12.008965,True,127320.0,0.02
Pobreza,mean,Hi,2023-02-15,2023-10-29 13:17:18.379314,True,1.0,0.02
CBT,mean,Hi,2003-08-15,2023-10-29 01:36:12.008965,True,331620.0,0.02
Indigencia,mean,Hi,2023-02-15,2023-10-29 13:17:18.379314,True,1.0,0.02
CBT,median,Hi,2003-08-15,2023-10-29 01:36:12.008965,True,301570.0,0.02
P47T_hogar,mean,Hi,2023-02-15,2023-10-29 13:17:18.379314,True,101890.0,0.02
CB_EQUIV,mean,Hi,2003-08-15,2023-10-29 01:36:12.008965,True,3.254,0.02
P47T_hogar,q25,Hi,2023-02-15,2023-10-29 13:17:18.379314,True,38970.0,0.02
CB_EQUIV,median,Hi,2003-08-15,2023-10-29 01:36:12.008965,True,2.95,0.02
P47T_hogar,q75,Hi,2023-02-15,2023-10-29 13:17:18.379314,True,148920.0,0.02
Indigencia,mean,Hi,2003-08-15,2023-10-29 01:36:12.008965,True,1.0,0.02
CB_EQUIV,mean,Hi,2023-02-15,2023-10-29 13:17:18.379314,True,3.487,0.02
Indigencia,sum,Hi,2003-08-15,2023-10-29 01:36:12.008965,True,2060750.0,0.02
CBA,mean,Hi,2023-02-15,2023-10-29 13:17:18.379314,True,166690.0,0.02
P47T_hogar,mean,Hi,2003-08-15,2023-10-29 01:36:12.008965,True,63950.0,0.02
gap_indigencia,mean,Hi,2023-02-15,2023-10-29 13:17:18.379314,True,-64800.0,0.02
P47T_hogar,median,Hi,2003-08-15,2023-10-29 01:36:12.008965,True,56350.0,0.02
CBT,mean,Hi,2023-02-15,2023-10-29 13:17:18.379314,True,365280.0,0.02
P47T_hogar,q10,Hi,2003-08-15,2023-10-29 01:36:12.008965,True,0.0,0.02
gap_pobreza,mean,Hi,2023-02-15,2023-10-29 13:17:18.379314,True,-263390.0,0.02
P47T_hogar,q25,Hi,2003-08-15,2023-10-29 01:36:12.008965,True,0.0,0.02
P47T_hogar,q75,Hi,2003-08-15,2023-10-29 01:36:12.008965,True,91890.0,0.02
P47T_hogar,q90,Hi,2003-08-15,2023-10-29 01:36:12.008965,True,148260.0,0.02
Pobreza,mean,Hi,2003-08-15,2023-10-29 01:36:12.008965,True,1.0,0.02
Pobreza,sum,Hi,2003-08-15,2023-10-29 01:36:12.008965,True,2060750.0,0.02
Total,mean,Hi,2003-08-15,2023-10-29 01:36:12.008965,True,1.0,0.02
