observable,sintetico,base,Q,timestamp,PROV,valor,frac
CBA,mean,P,2003-08-15,2023-10-29 01:35:11.913493,2,181000.0,0.02
Total,mean,P,2023-02-15,2023-10-29 13:05:15.592770,2,1.0,0.02
CBA,median,P,2003-08-15,2023-10-29 01:35:11.913493,2,114600.0,0.02
Total,mean,P,2023-02-15,2023-10-29 13:05:15.592770,10,1.0,0.02
CBT,mean,P,2003-08-15,2023-10-29 01:35:11.913493,2,433220.0,0.02
Total,mean,P,2023-02-15,2023-10-29 13:05:15.592770,18,1.0,0.02
CBT,median,P,2003-08-15,2023-10-29 01:35:11.913493,2,274290.0,0.02
Total,mean,P,2023-02-15,2023-10-29 13:05:15.592770,26,1.0,0.02
CB_EQUIV,mean,P,2003-08-15,2023-10-29 01:35:11.913493,2,3.98,0.02
Total,mean,P,2023-02-15,2023-10-29 13:05:15.592770,34,1.0,0.02
CB_EQUIV,median,P,2003-08-15,2023-10-29 01:35:11.913493,2,2.52,0.02
Total,mean,P,2023-02-15,2023-10-29 13:05:15.592770,42,1.0,0.02
Indigencia,mean,P,2003-08-15,2023-10-29 01:35:11.913493,2,0.0709,0.02
Total,mean,P,2023-02-15,2023-10-29 13:05:15.592770,50,1.0,0.02
Indigencia,sum,P,2003-08-15,2023-10-29 01:35:11.913493,2,194100.0,0.02
Total,mean,P,2023-02-15,2023-10-29 13:05:15.592770,58,1.0,0.02
P47T_hogar,mean,P,2003-08-15,2023-10-29 01:35:11.913493,2,1169000.0,0.02
Total,mean,P,2023-02-15,2023-10-29 13:05:15.592770,66,1.0,0.02
P47T_hogar,median,P,2003-08-15,2023-10-29 01:35:11.913493,2,533130.0,0.02
Total,mean,P,2023-02-15,2023-10-29 13:05:15.592770,74,1.0,0.02
P47T_hogar,q10,P,2003-08-15,2023-10-29 01:35:11.913493,2,151600.0,0.02
Total,mean,P,2023-02-15,2023-10-29 13:05:15.592770,82,1.0,0.02
P47T_hogar,q25,P,2003-08-15,2023-10-29 01:35:11.913493,2,289110.0,0.02
Total,mean,P,2023-02-15,2023-10-29 13:05:15.592770,90,1.0,0.02
P47T_hogar,q75,P,2003-08-15,2023-10-29 01:35:11.913493,2,910940.0,0.02
Total,sum,P,2023-02-15,2023-10-29 13:05:15.592770,2,3000750.0,0.02
P47T_hogar,q90,P,2003-08-15,2023-10-29 01:35:11.913493,2,1503330.0,0.02
Total,sum,P,2023-02-15,2023-10-29 13:05:15.592770,10,407700.0,0.02
P47T_persona,mean,P,2003-08-15,2023-10-29 01:35:11.913493,2,237620.0,0.02
Total,sum,P,2023-02-15,2023-10-29 13:05:15.592770,18,1132150.0,0.02
P47T_persona,median,P,2003-08-15,2023-10-29 01:35:11.913493,2,166350.0,0.02
Total,sum,P,2023-02-15,2023-10-29 13:05:15.592770,26,651000.0,0.02
P47T_persona,q10,P,2003-08-15,2023-10-29 01:35:11.913493,2,0.0,0.02
Total,sum,P,2023-02-15,2023-10-29 13:05:15.592770,34,592650.0,0.02
P47T_persona,q25,P,2003-08-15,2023-10-29 01:35:11.913493,2,0.0,0.02
Total,sum,P,2023-02-15,2023-10-29 13:05:15.592770,42,362100.0,0.02
P47T_persona,q75,P,2003-08-15,2023-10-29 01:35:11.913493,2,324390.0,0.02
Total,sum,P,2023-02-15,2023-10-29 13:05:15.592770,50,2029800.0,0.02
P47T_persona,q90,P,2003-08-15,2023-10-29 01:35:11.913493,2,576880.0,0.02
Total,sum,P,2023-02-15,2023-10-29 13:05:15.592770,58,709750.0,0.02
Pobreza,mean,P,2003-08-15,2023-10-29 01:35:11.913493,2,0.2016,0.02
Total,sum,P,2023-02-15,2023-10-29 13:05:15.592770,66,1460750.0,0.02
Pobreza,sum,P,2003-08-15,2023-10-29 01:35:11.913493,2,552200.0,0.02
Total,sum,P,2023-02-15,2023-10-29 13:05:15.592770,74,514150.0,0.02
Total,mean,P,2003-08-15,2023-10-29 01:35:11.913493,2,1.0,0.02
Total,sum,P,2023-02-15,2023-10-29 13:05:15.592770,82,3572050.0,0.02
Total,sum,P,2003-08-15,2023-10-29 01:35:11.913493,2,2739000.0,0.02
Total,sum,P,2023-02-15,2023-10-29 13:05:15.592770,90,1691000.0,0.02
gap_indigencia,mean,P,2003-08-15,2023-10-29 01:35:11.913493,2,987990.0,0.02
Pobreza,mean,P,2023-02-15,2023-10-29 13:05:15.592770,2,0.1236,0.02
gap_indigencia,median,P,2003-08-15,2023-10-29 01:35:11.913493,2,412745.0,0.02
Pobreza,mean,P,2023-02-15,2023-10-29 13:05:15.592770,10,0.441,0.02
gap_pobreza,mean,P,2003-08-15,2023-10-29 01:35:11.913493,2,735780.0,0.02
Pobreza,mean,P,2023-02-15,2023-10-29 13:05:15.592770,18,0.5187,0.02
gap_pobreza,median,P,2003-08-15,2023-10-29 01:35:11.913493,2,258190.0,0.02
Pobreza,mean,P,2023-02-15,2023-10-29 13:05:15.592770,26,0.3495,0.02
CBA,mean,P,2003-11-15,2023-10-29 01:36:26.980742,2,181000.0,0.02
Pobreza,mean,P,2023-02-15,2023-10-29 13:05:15.592770,34,0.5597,0.02
CBA,median,P,2003-11-15,2023-10-29 01:36:26.980742,2,114600.0,0.02
Pobreza,mean,P,2023-02-15,2023-10-29 13:05:15.592770,42,0.3097,0.02
CBT,mean,P,2003-11-15,2023-10-29 01:36:26.980742,2,433220.0,0.02
Pobreza,mean,P,2023-02-15,2023-10-29 13:05:15.592770,50,0.4562,0.02
CBT,median,P,2003-11-15,2023-10-29 01:36:26.980742,2,274290.0,0.02
Pobreza,mean,P,2023-02-15,2023-10-29 13:05:15.592770,58,0.3769,0.02
CB_EQUIV,mean,P,2003-11-15,2023-10-29 01:36:26.980742,2,3.98,0.02
Pobreza,mean,P,2023-02-15,2023-10-29 13:05:15.592770,66,0.5196,0.02
CB_EQUIV,median,P,2003-11-15,2023-10-29 01:36:26.980742,2,2.52,0.02
Pobreza,mean,P,2023-02-15,2023-10-29 13:05:15.592770,74,0.4764,0.02
