observable,sintetico,base,Q,timestamp,Region,valor,frac
CBA,mean,Hi,2003-08-15,2023-10-29 01:36:12.567587,cuyo,138760.0,0.02
Total,mean,Hi,2023-02-15,2023-10-29 13:17:26.072356,cuyo,1.0,0.02
CBA,median,Hi,2003-08-15,2023-10-29 01:36:12.567587,cuyo,125240.0,0.02
Total,mean,Hi,2023-02-15,2023-10-29 13:17:26.072356,noreste,1.0,0.02
CBT,mean,Hi,2003-08-15,2023-10-29 01:36:12.567587,cuyo,353570.0,0.02
Total,mean,Hi,2023-02-15,2023-10-29 13:17:26.072356,pampeana,1.0,0.02
CBT,median,Hi,2003-08-15,2023-10-29 01:36:12.567587,cuyo,319120.0,0.02
Total,sum,Hi,2023-02-15,2023-10-29 13:17:26.072356,cuyo,83250.0,0.02
CB_EQUIV,mean,Hi,2003-08-15,2023-10-29 01:36:12.567587,cuyo,3.424,0.02
Total,sum,Hi,2023-02-15,2023-10-29 13:17:26.072356,noreste,158550.0,0.02
CB_EQUIV,median,Hi,2003-08-15,2023-10-29 01:36:12.567587,cuyo,3.09,0.02
Total,sum,Hi,2023-02-15,2023-10-29 13:17:26.072356,pampeana,304400.0,0.02
Indigencia,mean,Hi,2003-08-15,2023-10-29 01:36:12.567587,cuyo,1.0,0.02
Pobreza,mean,Hi,2023-02-15,2023-10-29 13:17:26.072356,cuyo,1.0,0.02
Indigencia,sum,Hi,2003-08-15,2023-10-29 01:36:12.567587,cuyo,149200.0,0.02
Pobreza,mean,Hi,2023-02-15,2023-10-29 13:17:26.072356,noreste,1.0,0.02
P47T_hogar,mean,Hi,2003-08-15,2023-10-29 01:36:12.567587,cuyo,64640.0,0.02
Pobreza,mean,Hi,2023-02-15,2023-10-29 13:17:26.072356,pampeana,1.0,0.02
P47T_hogar,median,Hi,2003-08-15,2023-10-29 01:36:12.567587,cuyo,57660.0,0.02
Pobreza,sum,Hi,2023-02-15,2023-10-29 13:17:26.072356,cuyo,83250.0,0.02
P47T_hogar,q10,Hi,2003-08-15,2023-10-29 01:36:12.567587,cuyo,0.0,0.02
Pobreza,sum,Hi,2023-02-15,2023-10-29 13:17:26.072356,noreste,158550.0,0.02
P47T_hogar,q25,Hi,2003-08-15,2023-10-29 01:36:12.567587,cuyo,0.0,0.02
Pobreza,sum,Hi,2023-02-15,2023-10-29 13:17:26.072356,pampeana,304400.0,0.02
P47T_hogar,q75,Hi,2003-08-15,2023-10-29 01:36:12.567587,cuyo,91400.0,0.02
Indigencia,mean,Hi,2023-02-15,2023-10-29 13:17:26.072356,cuyo,1.0,0.02
P47T_hogar,q90,Hi,2003-08-15,2023-10-29 01:36:12.567587,cuyo,148580.0,0.02
Indigencia,mean,Hi,2023-02-15,2023-10-29 13:17:26.072356,noreste,1.0,0.02
Pobreza,mean,Hi,2003-08-15,2023-10-29 01:36:12.567587,cuyo,1.0,0.02
Indigencia,mean,Hi,2023-02-15,2023-10-29 13:17:26.072356,pampeana,1.0,0.02
Pobreza,sum,Hi,2003-08-15,2023-10-29 01:36:12.567587,cuyo,149200.0,0.02
Indigencia,sum,Hi,2023-02-15,2023-10-29 13:17:26.072356,cuyo,83250.0,0.02
Total,mean,Hi,2003-08-15,2023-10-29 01:36:12.567587,cuyo,1.0,0.02
Indigencia,sum,Hi,2023-02-15,2023-10-29 13:17:26.072356,noreste,158550.0,0.02
Total,sum,Hi,2003-08-15,2023-10-29 01:36:12.567587,cuyo,149200.0,0.02
Indigencia,sum,Hi,2023-02-15,2023-10-29 13:17:26.072356,pampeana,304400.0,0.02
gap_indigencia,mean,Hi,2003-08-15,2023-10-29 01:36:12.567587,cuyo,-74130.0,0.02
P47T_hogar,mean,Hi,2023-02-15,2023-10-29 13:17:26.072356,cuyo,106430.0,0.02
gap_indigencia,median,Hi,2003-08-15,2023-10-29 01:36:12.567587,cuyo,-62820.0,0.02
P47T_hogar,mean,Hi,2023-02-15,2023-10-29 13:17:26.072356,noreste,105610.0,0.02
gap_pobreza,mean,Hi,2003-08-15,2023-10-29 01:36:12.567587,cuyo,-288940.0,0.02
P47T_hogar,mean,Hi,2023-02-15,2023-10-29 13:17:26.072356,pampeana,99990.0,0.02
gap_pobreza,median,Hi,2003-08-15,2023-10-29 01:36:12.567587,cuyo,-260865.0,0.02
P47T_hogar,q10,Hi,2023-02-15,2023-10-29 13:17:26.072356,cuyo,0.0,0.02
CBA,mean,Hi,2003-08-15,2023-10-29 01:36:12.567587,gran_buenos_aires,139220.0,0.02
P47T_hogar,q10,Hi,2023-02-15,2023-10-29 13:17:26.072356,noreste,0.0,0.02
CBA,median,Hi,2003-08-15,2023-10-29 01:36:12.567587,gran_buenos_aires,126880.0,0.02
P47T_hogar,q10,Hi,2023-02-15,2023-10-29 13:17:26.072356,pampeana,0.0,0.02
CBT,mean,Hi,2003-08-15,2023-10-29 01:36:12.567587,gran_buenos_aires,333220.0,0.02
P47T_hogar,q25,Hi,2023-02-15,2023-10-29 13:17:26.072356,cuyo,45790.0,0.02
CBT,median,Hi,2003-08-15,2023-10-29 01:36:12.567587,gran_buenos_aires,303670.0,0.02
P47T_hogar,q25,Hi,2023-02-15,2023-10-29 13:17:26.072356,noreste,47950.0,0.02
CB_EQUIV,mean,Hi,2003-08-15,2023-10-29 01:36:12.567587,gran_buenos_aires,3.061,0.02
P47T_hogar,q25,Hi,2023-02-15,2023-10-29 13:17:26.072356,pampeana,28880.0,0.02
CB_EQUIV,median,Hi,2003-08-15,2023-10-29 01:36:12.567587,gran_buenos_aires,2.79,0.02
P47T_hogar,median,Hi,2023-02-15,2023-10-29 13:17:26.072356,cuyo,95710.0,0.02
Indigencia,mean,Hi,2003-08-15,2023-10-29 01:36:12.567587,gran_buenos_aires,1.0,0.02
P47T_hogar,median,Hi,2023-02-15,2023-10-29 13:17:26.072356,noreste,93730.0,0.02
Indigencia,sum,Hi,2003-08-15,2023-10-29 01:36:12.567587,gran_buenos_aires,511050.0,0.02
P47T_hogar,median,Hi,2023-02-15,2023-10-29 13:17:26.072356,pampeana,87290.0,0.02
P47T_hogar,mean,Hi,2003-08-15,2023-10-29 01:36:12.567587,gran_buenos_aires,63520.0,0.02
P47T_hogar,q75,Hi,2023-02-15,2023-10-29 13:17:26.072356,cuyo,155580.0,0.02
P47T_hogar,median,Hi,2003-08-15,2023-10-29 01:36:12.567587,gran_buenos_aires,56350.0,0.02
P47T_hogar,q75,Hi,2023-02-15,2023-10-29 13:17:26.072356,noreste,153000.0,0.02
P47T_hogar,q10,Hi,2003-08-15,2023-10-29 01:36:12.567587,gran_buenos_aires,0.0,0.02
P47T_hogar,q75,Hi,2023-02-15,2023-10-29 13:17:26.072356,pampeana,148260.0,0.02
P47T_hogar,q25,Hi,2003-08-15,2023-10-29 01:36:12.567587,gran_buenos_aires,0.0,0.02
P47T_hogar,q90,Hi,2023-02-15,2023-10-29 13:17:26.072356,cuyo,216150.0,0.02
P47T_hogar,q75,Hi,2003-08-15,2023-10-29 01:36:12.567587,gran_buenos_aires,89320.0,0.02
P47T_hogar,q90,Hi,2023-02-15,2023-10-29 13:17:26.072356,noreste,210500.0,0.02
P47T_hogar,q90,Hi,2003-08-15,2023-10-29 01:36:12.567587,gran_buenos_aires,151710.0,0.02
P47T_hogar,q90,Hi,2023-02-15,2023-10-29 13:17:26.072356,pampeana,216680.0,0.02
Pobreza,mean,Hi,2003-08-15,2023-10-29 01:36:12.567587,gran_buenos_aires,1.0,0.02
CB_EQUIV,mean,Hi,2023-02-15,2023-10-29 13:17:26.072356,cuyo,3.63,0.02
Pobreza,sum,Hi,2003-08-15,2023-10-29 01:36:12.567587,gran_buenos_aires,511050.0,0.02
CB_EQUIV,mean,Hi,2023-02-15,2023-10-29 13:17:26.072356,noreste,3.713,0.02
Total,mean,Hi,2003-08-15,2023-10-29 01:36:12.567587,gran_buenos_aires,1.0,0.02
