observable,sintetico,base,Q,timestamp,AGLOSI,Region,valor,frac
CBA,mean,Hp,2003-08-15,2023-10-29 01:36:11.191848,False,cuyo,135490.0,0.02
Total,mean,Hp,2023-02-15,2023-10-29 13:17:06.796277,False,cuyo,1.0,0.02
CBA,median,Hp,2003-08-15,2023-10-29 01:36:11.191848,False,cuyo,127670.0,0.02
Total,mean,Hp,2023-02-15,2023-10-29 13:17:06.796277,False,noreste,1.0,0.02
CBT,mean,Hp,2003-08-15,2023-10-29 01:36:11.191848,False,cuyo,345230.0,0.02
Total,mean,Hp,2023-02-15,2023-10-29 13:17:06.796277,False,pampeana,1.0,0.02
CBT,median,Hp,2003-08-15,2023-10-29 01:36:11.191848,False,cuyo,325320.0,0.02
Total,mean,Hp,2023-02-15,2023-10-29 13:17:06.796277,True,cuyo,1.0,0.02
CB_EQUIV,mean,Hp,2003-08-15,2023-10-29 01:36:11.191848,False,cuyo,3.343,0.02
Total,mean,Hp,2023-02-15,2023-10-29 13:17:06.796277,True,noreste,1.0,0.02
CB_EQUIV,median,Hp,2003-08-15,2023-10-29 01:36:11.191848,False,cuyo,3.15,0.02
Total,mean,Hp,2023-02-15,2023-10-29 13:17:06.796277,True,pampeana,1.0,0.02
Indigencia,mean,Hp,2003-08-15,2023-10-29 01:36:11.191848,False,cuyo,0.4176,0.02
Total,sum,Hp,2023-02-15,2023-10-29 13:17:06.796277,False,cuyo,209150.0,0.02
Indigencia,sum,Hp,2003-08-15,2023-10-29 01:36:11.191848,False,cuyo,88550.0,0.02
Total,sum,Hp,2023-02-15,2023-10-29 13:17:06.796277,False,noreste,361150.0,0.02
P47T_hogar,mean,Hp,2003-08-15,2023-10-29 01:36:11.191848,False,cuyo,159700.0,0.02
Total,sum,Hp,2023-02-15,2023-10-29 13:17:06.796277,False,pampeana,705500.0,0.02
P47T_hogar,median,Hp,2003-08-15,2023-10-29 01:36:11.191848,False,cuyo,135760.0,0.02
Total,sum,Hp,2023-02-15,2023-10-29 13:17:06.796277,True,cuyo,188000.0,0.02
P47T_hogar,q10,Hp,2003-08-15,2023-10-29 01:36:11.191848,False,cuyo,0.0,0.02
Total,sum,Hp,2023-02-15,2023-10-29 13:17:06.796277,True,noreste,139700.0,0.02
P47T_hogar,q25,Hp,2003-08-15,2023-10-29 01:36:11.191848,False,cuyo,69330.0,0.02
Total,sum,Hp,2023-02-15,2023-10-29 13:17:06.796277,True,pampeana,579900.0,0.02
P47T_hogar,q75,Hp,2003-08-15,2023-10-29 01:36:11.191848,False,cuyo,234990.0,0.02
Pobreza,mean,Hp,2023-02-15,2023-10-29 13:17:06.796277,False,cuyo,1.0,0.02
P47T_hogar,q90,Hp,2003-08-15,2023-10-29 01:36:11.191848,False,cuyo,329250.0,0.02
Pobreza,mean,Hp,2023-02-15,2023-10-29 13:17:06.796277,False,noreste,1.0,0.02
Pobreza,mean,Hp,2003-08-15,2023-10-29 01:36:11.191848,False,cuyo,1.0,0.02
Pobreza,mean,Hp,2023-02-15,2023-10-29 13:17:06.796277,False,pampeana,1.0,0.02
Pobreza,sum,Hp,2003-08-15,2023-10-29 01:36:11.191848,False,cuyo,212050.0,0.02
Pobreza,mean,Hp,2023-02-15,2023-10-29 13:17:06.796277,True,cuyo,1.0,0.02
Total,mean,Hp,2003-08-15,2023-10-29 01:36:11.191848,False,cuyo,1.0,0.02
Pobreza,mean,Hp,2023-02-15,2023-10-29 13:17:06.796277,True,noreste,1.0,0.02
Total,sum,Hp,2003-08-15,2023-10-29 01:36:11.191848,False,cuyo,212050.0,0.02
Pobreza,mean,Hp,2023-02-15,2023-10-29 13:17:06.796277,True,pampeana,1.0,0.02
gap_indigencia,mean,Hp,2003-08-15,2023-10-29 01:36:11.191848,False,cuyo,24210.0,0.02
Pobreza,sum,Hp,2023-02-15,2023-10-29 13:17:06.796277,False,cuyo,209150.0,0.02
gap_indigencia,median,Hp,2003-08-15,2023-10-29 01:36:11.191848,False,cuyo,21420.0,0.02
Pobreza,sum,Hp,2023-02-15,2023-10-29 13:17:06.796277,False,noreste,361150.0,0.02
gap_pobreza,mean,Hp,2003-08-15,2023-10-29 01:36:11.191848,False,cuyo,-185530.0,0.02
Pobreza,sum,Hp,2023-02-15,2023-10-29 13:17:06.796277,False,pampeana,705500.0,0.02
gap_pobreza,median,Hp,2003-08-15,2023-10-29 01:36:11.191848,False,cuyo,-155260.0,0.02
Pobreza,sum,Hp,2023-02-15,2023-10-29 13:17:06.796277,True,cuyo,188000.0,0.02
CBA,mean,Hp,2003-08-15,2023-10-29 01:36:11.191848,False,gran_buenos_aires,151350.0,0.02
Pobreza,sum,Hp,2023-02-15,2023-10-29 13:17:06.796277,True,noreste,139700.0,0.02
CBA,median,Hp,2003-08-15,2023-10-29 01:36:11.191848,False,gran_buenos_aires,105960.0,0.02
