observable,sintetico,base,Q,timestamp,AGLOSI,Region,valor,frac
CBA,mean,Hi,2003-08-15,2023-10-29 01:36:16.686343,False,cuyo,140240.0,0.02
Total,mean,Hi,2023-02-15,2023-10-29 13:19:15.792929,False,cuyo,1.0,0.02
CBA,median,Hi,2003-08-15,2023-10-29 01:36:16.686343,False,cuyo,125650.0,0.02
Total,mean,Hi,2023-02-15,2023-10-29 13:19:15.792929,False,noreste,1.0,0.02
CBT,mean,Hi,2003-08-15,2023-10-29 01:36:16.686343,False,cuyo,357330.0,0.02
Total,mean,Hi,2023-02-15,2023-10-29 13:19:15.792929,False,pampeana,1.0,0.02
CBT,median,Hi,2003-08-15,2023-10-29 01:36:16.686343,False,cuyo,320150.0,0.02
Total,mean,Hi,2023-02-15,2023-10-29 13:19:15.792929,True,cuyo,1.0,0.02
CB_EQUIV,mean,Hi,2003-08-15,2023-10-29 01:36:16.686343,False,cuyo,3.46,0.02
Total,mean,Hi,2023-02-15,2023-10-29 13:19:15.792929,True,noreste,1.0,0.02
CB_EQUIV,median,Hi,2003-08-15,2023-10-29 01:36:16.686343,False,cuyo,3.1,0.02
Total,mean,Hi,2023-02-15,2023-10-29 13:19:15.792929,True,pampeana,1.0,0.02
Indigencia,mean,Hi,2003-08-15,2023-10-29 01:36:16.686343,False,cuyo,1.0,0.02
Total,sum,Hi,2023-02-15,2023-10-29 13:19:15.792929,False,cuyo,45800.0,0.02
Indigencia,sum,Hi,2003-08-15,2023-10-29 01:36:16.686343,False,cuyo,88550.0,0.02
Total,sum,Hi,2023-02-15,2023-10-29 13:19:15.792929,False,noreste,121950.0,0.02
P47T_hogar,mean,Hi,2003-08-15,2023-10-29 01:36:16.686343,False,cuyo,67290.0,0.02
Total,sum,Hi,2023-02-15,2023-10-29 13:19:15.792929,False,pampeana,162250.0,0.02
P47T_hogar,median,Hi,2003-08-15,2023-10-29 01:36:16.686343,False,cuyo,63120.0,0.02
Total,sum,Hi,2023-02-15,2023-10-29 13:19:15.792929,True,cuyo,37450.0,0.02
P47T_hogar,q10,Hi,2003-08-15,2023-10-29 01:36:16.686343,False,cuyo,0.0,0.02
Total,sum,Hi,2023-02-15,2023-10-29 13:19:15.792929,True,noreste,36600.0,0.02
P47T_hogar,q25,Hi,2003-08-15,2023-10-29 01:36:16.686343,False,cuyo,3610.0,0.02
Total,sum,Hi,2023-02-15,2023-10-29 13:19:15.792929,True,pampeana,142150.0,0.02
P47T_hogar,q75,Hi,2003-08-15,2023-10-29 01:36:16.686343,False,cuyo,94300.0,0.02
Pobreza,mean,Hi,2023-02-15,2023-10-29 13:19:15.792929,False,cuyo,1.0,0.02
P47T_hogar,q90,Hi,2003-08-15,2023-10-29 01:36:16.686343,False,cuyo,151780.0,0.02
Pobreza,mean,Hi,2023-02-15,2023-10-29 13:19:15.792929,False,noreste,1.0,0.02
Pobreza,mean,Hi,2003-08-15,2023-10-29 01:36:16.686343,False,cuyo,1.0,0.02
Pobreza,mean,Hi,2023-02-15,2023-10-29 13:19:15.792929,False,pampeana,1.0,0.02
Pobreza,sum,Hi,2003-08-15,2023-10-29 01:36:16.686343,False,cuyo,88550.0,0.02
Pobreza,mean,Hi,2023-02-15,2023-10-29 13:19:15.792929,True,cuyo,1.0,0.02
Total,mean,Hi,2003-08-15,2023-10-29 01:36:16.686343,False,cuyo,1.0,0.02
Pobreza,mean,Hi,2023-02-15,2023-10-29 13:19:15.792929,True,noreste,1.0,0.02
Total,sum,Hi,2003-08-15,2023-10-29 01:36:16.686343,False,cuyo,88550.0,0.02
Pobreza,mean,Hi,2023-02-15,2023-10-29 13:19:15.792929,True,pampeana,1.0,0.02
gap_indigencia,mean,Hi,2003-08-15,2023-10-29 01:36:16.686343,False,cuyo,-72950.0,0.02
Pobreza,sum,Hi,2023-02-15,2023-10-29 13:19:15.792929,False,cuyo,45800.0,0.02
gap_indigencia,median,Hi,2003-08-15,2023-10-29 01:36:16.686343,False,cuyo,-61610.0,0.02
Pobreza,sum,Hi,2023-02-15,2023-10-29 13:19:15.792929,False,noreste,121950.0,0.02
gap_pobreza,mean,Hi,2003-08-15,2023-10-29 01:36:16.686343,False,cuyo,-290040.0,0.02
Pobreza,sum,Hi,2023-02-15,2023-10-29 13:19:15.792929,False,pampeana,162250.0,0.02
gap_pobreza,median,Hi,2003-08-15,2023-10-29 01:36:16.686343,False,cuyo,-258870.0,0.02
Pobreza,sum,Hi,2023-02-15,2023-10-29 13:19:15.792929,True,cuyo,37450.0,0.02
CBA,mean,Hi,2003-08-15,2023-10-29 01:36:16.686343,False,gran_buenos_aires,206160.0,0.02
