observable,sintetico,base,Q,timestamp,AGLOMERADO,valor,frac
CBA,mean,Hi,2003-08-15,2023-10-29 01:36:12.221056,0,141250.0,0.02
Total,mean,Hi,2023-02-15,2023-10-29 13:17:19.059700,0,1.0,0.02
CBA,median,Hi,2003-08-15,2023-10-29 01:36:12.221056,0,127550.0,0.02
Total,mean,Hi,2023-02-15,2023-10-29 13:17:19.059700,3,1.0,0.02
CBT,mean,Hi,2003-08-15,2023-10-29 01:36:12.221056,0,331120.0,0.02
Total,mean,Hi,2023-02-15,2023-10-29 13:17:19.059700,5,1.0,0.02
CBT,median,Hi,2003-08-15,2023-10-29 01:36:12.221056,0,300860.0,0.02
Total,mean,Hi,2023-02-15,2023-10-29 13:17:19.059700,7,1.0,0.02
CB_EQUIV,mean,Hi,2003-08-15,2023-10-29 01:36:12.221056,0,3.346,0.02
Total,mean,Hi,2023-02-15,2023-10-29 13:17:19.059700,9,1.0,0.02
CB_EQUIV,median,Hi,2003-08-15,2023-10-29 01:36:12.221056,0,3.02,0.02
Total,mean,Hi,2023-02-15,2023-10-29 13:17:19.059700,12,1.0,0.02
Indigencia,mean,Hi,2003-08-15,2023-10-29 01:36:12.221056,0,1.0,0.02
Total,mean,Hi,2023-02-15,2023-10-29 13:17:19.059700,14,1.0,0.02
Indigencia,sum,Hi,2003-08-15,2023-10-29 01:36:12.221056,0,982150.0,0.02
Total,mean,Hi,2023-02-15,2023-10-29 13:17:19.059700,17,1.0,0.02
P47T_hogar,mean,Hi,2003-08-15,2023-10-29 01:36:12.221056,0,63340.0,0.02
Total,mean,Hi,2023-02-15,2023-10-29 13:17:19.059700,19,1.0,0.02
P47T_hogar,median,Hi,2003-08-15,2023-10-29 01:36:12.221056,0,56350.0,0.02
Total,mean,Hi,2023-02-15,2023-10-29 13:17:19.059700,22,1.0,0.02
P47T_hogar,q10,Hi,2003-08-15,2023-10-29 01:36:12.221056,0,0.0,0.02
Total,mean,Hi,2023-02-15,2023-10-29 13:17:19.059700,25,1.0,0.02
P47T_hogar,q25,Hi,2003-08-15,2023-10-29 01:36:12.221056,0,0.0,0.02
Total,mean,Hi,2023-02-15,2023-10-29 13:17:19.059700,27,1.0,0.02
P47T_hogar,q75,Hi,2003-08-15,2023-10-29 01:36:12.221056,0,91400.0,0.02
Total,mean,Hi,2023-02-15,2023-10-29 13:17:19.059700,30,1.0,0.02
P47T_hogar,q90,Hi,2003-08-15,2023-10-29 01:36:12.221056,0,144880.0,0.02
Total,mean,Hi,2023-02-15,2023-10-29 13:17:19.059700,32,1.0,0.02
Pobreza,mean,Hi,2003-08-15,2023-10-29 01:36:12.221056,0,1.0,0.02
Total,mean,Hi,2023-02-15,2023-10-29 13:17:19.059700,34,1.0,0.02
Pobreza,sum,Hi,2003-08-15,2023-10-29 01:36:12.221056,0,982150.0,0.02
Total,mean,Hi,2023-02-15,2023-10-29 13:17:19.059700,38,1.0,0.02
Total,mean,Hi,2003-08-15,2023-10-29 01:36:12.221056,0,1.0,0.02
Total,mean,Hi,2023-02-15,2023-10-29 13:17:19.059700,93,1.0,0.02
Total,sum,Hi,2003-08-15,2023-10-29 01:36:12.221056,0,982150.0,0.02
Total,sum,Hi,2023-02-15,2023-10-29 13:17:19.059700,2,14550.0,0.02
gap_indigencia,mean,Hi,2003-08-15,2023-10-29 01:36:12.221056,0,-77920.0,0.02
Total,sum,Hi,2023-02-15,2023-10-29 13:17:19.059700,4,27100.0,0.02
gap_indigencia,median,Hi,2003-08-15,2023-10-29 01:36:12.221056,0,-64140.0,0.02
Total,sum,Hi,2023-02-15,2023-10-29 13:17:19.059700,6,4950.0,0.02
gap_pobreza,mean,Hi,2003-08-15,2023-10-29 01:36:12.221056,0,-267780.0,0.02
Total,sum,Hi,2023-02-15,2023-10-29 13:17:19.059700,8,13000.0,0.02
gap_pobreza,median,Hi,2003-08-15,2023-10-29 01:36:12.221056,0,-240600.0,0.02
Total,sum,Hi,2023-02-15,2023-10-29 13:17:19.059700,10,18150.0,0.02
CBA,mean,Hi,2003-11-15,2023-10-29 01:37:19.617428,0,142320.0,0.02
Total,sum,Hi,2023-02-15,2023-10-29 13:17:19.059700,13,26950.0,0.02
CBA,median,Hi,2003-11-15,2023-10-29 01:37:19.617428,0,129300.0,0.02
Total,sum,Hi,2023-02-15,2023-10-29 13:17:19.059700,15,6700.0,0.02
CBT,mean,Hi,2003-11-15,2023-10-29 01:37:19.617428,0,333350.0,0.02
Total,sum,Hi,2023-02-15,2023-10-29 13:17:19.059700,18,10400.0,0.02
CBT,median,Hi,2003-11-15,2023-10-29 01:37:19.617428,0,302905.0,0.02
Total,sum,Hi,2023-02-15,2023-10-29 13:17:19.059700,20,1550.0,0.02
CB_EQUIV,mean,Hi,2003-11-15,2023-10-29 01:37:19.617428,0,3.379,0.02
Total,sum,Hi,2023-02-15,2023-10-29 13:17:19.059700,23,17550.0,0.02
CB_EQUIV,median,Hi,2003-11-15,2023-10-29 01:37:19.617428,0,3.06,0.02
Total,sum,Hi,2023-02-15,2023-10-29 13:17:19.059700,26,3750.0,0.02
Indigencia,mean,Hi,2003-11-15,2023-10-29 01:37:19.617428,0,1.0,0.02
Total,sum,Hi,2023-02-15,2023-10-29 13:17:19.059700,29,20150.0,0.02
Indigencia,sum,Hi,2003-11-15,2023-10-29 01:37:19.617428,0,939300.0,0.02
Total,sum,Hi,2023-02-15,2023-10-29 13:17:19.059700,31,1400.0,0.02
P47T_hogar,mean,Hi,2003-11-15,2023-10-29 01:37:19.617428,0,65440.0,0.02
Total,sum,Hi,2023-02-15,2023-10-29 13:17:19.059700,33,252350.0,0.02
P47T_hogar,median,Hi,2003-11-15,2023-10-29 01:37:19.617428,0,53810.0,0.02
Total,sum,Hi,2023-02-15,2023-10-29 13:17:19.059700,36,2800.0,0.02
P47T_hogar,q10,Hi,2003-11-15,2023-10-29 01:37:19.617428,0,0.0,0.02
Total,sum,Hi,2023-02-15,2023-10-29 13:17:19.059700,91,2250.0,0.02
P47T_hogar,q25,Hi,2003-11-15,2023-10-29 01:37:19.617428,0,0.0,0.02
Pobreza,mean,Hi,2023-02-15,2023-10-29 13:17:19.059700,0,1.0,0.02
P47T_hogar,q75,Hi,2003-11-15,2023-10-29 01:37:19.617428,0,100220.0,0.02
Pobreza,mean,Hi,2023-02-15,2023-10-29 13:17:19.059700,3,1.0,0.02
P47T_hogar,q90,Hi,2003-11-15,2023-10-29 01:37:19.617428,0,149710.0,0.02
Pobreza,mean,Hi,2023-02-15,2023-10-29 13:17:19.059700,5,1.0,0.02
Pobreza,mean,Hi,2003-11-15,2023-10-29 01:37:19.617428,0,1.0,0.02
Pobreza,mean,Hi,2023-02-15,2023-10-29 13:17:19.059700,7,1.0,0.02
Pobreza,sum,Hi,2003-11-15,2023-10-29 01:37:19.617428,0,939300.0,0.02
