observable,sintetico,base,Q,timestamp,P0910,valor,frac
CBA,mean,M24,2003-08-15,2023-10-29 01:35:54.928657,2,269420.0,0.02
Total,mean,M24,2023-02-15,2023-10-29 13:12:53.136238,2,1.0,0.02
CBA,median,M24,2003-08-15,2023-10-29 01:35:54.928657,2,122930.0,0.02
Total,mean,M24,2023-02-15,2023-10-29 13:12:53.136238,20,1.0,0.02
CBT,mean,M24,2003-08-15,2023-10-29 01:35:54.928657,2,636190.0,0.02
Total,mean,M24,2023-02-15,2023-10-29 13:12:53.136238,30,1.0,0.02
CBT,median,M24,2003-08-15,2023-10-29 01:35:54.928657,2,290610.0,0.02
Total,mean,M24,2023-02-15,2023-10-29 13:12:53.136238,40,1.0,0.02
CB_EQUIV,mean,M24,2003-08-15,2023-10-29 01:35:54.928657,2,6.255,0.02
Total,mean,M24,2023-02-15,2023-10-29 13:12:53.136238,60,1.0,0.02
CB_EQUIV,median,M24,2003-08-15,2023-10-29 01:35:54.928657,2,2.8,0.02
Total,mean,M24,2023-02-15,2023-10-29 13:12:53.136238,70,1.0,0.02
Indigencia,mean,M24,2003-08-15,2023-10-29 01:35:54.928657,2,0.3111,0.02
Total,mean,M24,2023-02-15,2023-10-29 13:12:53.136238,80,1.0,0.02
Indigencia,sum,M24,2003-08-15,2023-10-29 01:35:54.928657,2,145150.0,0.02
Total,mean,M24,2023-02-15,2023-10-29 13:12:53.136238,92,1.0,0.02
P47T_hogar,mean,M24,2003-08-15,2023-10-29 01:35:54.928657,2,894980.0,0.02
Total,sum,M24,2023-02-15,2023-10-29 13:12:53.136238,12,18300.0,0.02
P47T_hogar,median,M24,2003-08-15,2023-10-29 01:35:54.928657,2,193250.0,0.02
Total,sum,M24,2023-02-15,2023-10-29 13:12:53.136238,21,7366750.0,0.02
P47T_hogar,q10,M24,2003-08-15,2023-10-29 01:35:54.928657,2,35540.0,0.02
Total,sum,M24,2023-02-15,2023-10-29 13:12:53.136238,31,52100.0,0.02
P47T_hogar,q25,M24,2003-08-15,2023-10-29 01:35:54.928657,2,85300.0,0.02
Total,sum,M24,2023-02-15,2023-10-29 13:12:53.136238,41,5321450.0,0.02
P47T_hogar,q75,M24,2003-08-15,2023-10-29 01:35:54.928657,2,375690.0,0.02
Total,sum,M24,2023-02-15,2023-10-29 13:12:53.136238,61,1701450.0,0.02
P47T_hogar,q90,M24,2003-08-15,2023-10-29 01:35:54.928657,2,668660.0,0.02
Total,sum,M24,2023-02-15,2023-10-29 13:12:53.136238,71,1844750.0,0.02
P47T_persona,mean,M24,2003-08-15,2023-10-29 01:35:54.928657,2,94370.0,0.02
Total,sum,M24,2023-02-15,2023-10-29 13:12:53.136238,81,183600.0,0.02
P47T_persona,median,M24,2003-08-15,2023-10-29 01:35:54.928657,2,63220.0,0.02
Pobreza,mean,M24,2023-02-15,2023-10-29 13:12:53.136238,2,0.344,0.02
