observable,sintetico,base,Q,timestamp,AGLOSI,Region,valor,frac
CBA,mean,M24,2003-08-15,2023-10-29 01:35:56.081291,False,cuyo,133890.0,0.02
Total,mean,M24,2023-02-15,2023-10-29 13:12:57.591619,False,cuyo,1.0,0.02
CBA,median,M24,2003-08-15,2023-10-29 01:35:56.081291,False,cuyo,124030.0,0.02
Total,mean,M24,2023-02-15,2023-10-29 13:12:57.591619,False,noreste,1.0,0.02
CBT,mean,M24,2003-08-15,2023-10-29 01:35:56.081291,False,cuyo,341150.0,0.02
Total,mean,M24,2023-02-15,2023-10-29 13:12:57.591619,False,pampeana,1.0,0.02
CBT,median,M24,2003-08-15,2023-10-29 01:35:56.081291,False,cuyo,316020.0,0.02
Total,mean,M24,2023-02-15,2023-10-29 13:12:57.591619,True,cuyo,1.0,0.02
CB_EQUIV,mean,M24,2003-08-15,2023-10-29 01:35:56.081291,False,cuyo,3.303,0.02
Total,mean,M24,2023-02-15,2023-10-29 13:12:57.591619,True,noreste,1.0,0.02
CB_EQUIV,median,M24,2003-08-15,2023-10-29 01:35:56.081291,False,cuyo,3.06,0.02
Total,mean,M24,2023-02-15,2023-10-29 13:12:57.591619,True,pampeana,1.0,0.02
Indigencia,mean,M24,2003-08-15,2023-10-29 01:35:56.081291,False,cuyo,0.2093,0.02
Total,sum,M24,2023-02-15,2023-10-29 13:12:57.591619,False,cuyo,950500.0,0.02
Indigencia,sum,M24,2003-08-15,2023-10-29 01:35:56.081291,False,cuyo,155800.0,0.02
Total,sum,M24,2023-02-15,2023-10-29 13:12:57.591619,False,noreste,1397150.0,0.02
P47T_hogar,mean,M24,2003-08-15,2023-10-29 01:35:56.081291,False,cuyo,331720.0,0.02
Total,sum,M24,2023-02-15,2023-10-29 13:12:57.591619,False,pampeana,4962050.0,0.02
P47T_hogar,median,M24,2003-08-15,2023-10-29 01:35:56.081291,False,cuyo,269810.0,0.02
Total,sum,M24,2023-02-15,2023-10-29 13:12:57.591619,True,cuyo,1172500.0,0.02
P47T_hogar,q10,M24,2003-08-15,2023-10-29 01:35:56.081291,False,cuyo,69330.0,0.02
Total,sum,M24,2023-02-15,2023-10-29 13:12:57.591619,True,noreste,784450.0,0.02
P47T_hogar,q25,M24,2003-08-15,2023-10-29 01:35:56.081291,False,cuyo,141580.0,0.02
Total,sum,M24,2023-02-15,2023-10-29 13:12:57.591619,True,pampeana,4466400.0,0.02
P47T_hogar,q75,M24,2003-08-15,2023-10-29 01:35:56.081291,False,cuyo,438460.0,0.02
Pobreza,mean,M24,2023-02-15,2023-10-29 13:12:57.591619,False,cuyo,0.4118,0.02
P47T_hogar,q90,M24,2003-08-15,2023-10-29 01:35:56.081291,False,cuyo,622840.0,0.02
Pobreza,mean,M24,2023-02-15,2023-10-29 13:12:57.591619,False,noreste,0.4506,0.02
P47T_persona,mean,M24,2003-08-15,2023-10-29 01:35:56.081291,False,cuyo,133170.0,0.02
Pobreza,mean,M24,2023-02-15,2023-10-29 13:12:57.591619,False,pampeana,0.2513,0.02
P47T_persona,median,M24,2003-08-15,2023-10-29 01:35:56.081291,False,cuyo,89320.0,0.02
Pobreza,mean,M24,2023-02-15,2023-10-29 13:12:57.591619,True,cuyo,0.3159,0.02
P47T_persona,q10,M24,2003-08-15,2023-10-29 01:35:56.081291,False,cuyo,0.0,0.02
Pobreza,mean,M24,2023-02-15,2023-10-29 13:12:57.591619,True,noreste,0.3239,0.02
P47T_persona,q25,M24,2003-08-15,2023-10-29 01:35:56.081291,False,cuyo,0.0,0.02
Pobreza,mean,M24,2023-02-15,2023-10-29 13:12:57.591619,True,pampeana,0.2291,0.02
P47T_persona,q75,M24,2003-08-15,2023-10-29 01:35:56.081291,False,cuyo,219300.0,0.02
Pobreza,sum,M24,2023-02-15,2023-10-29 13:12:57.591619,False,cuyo,391400.0,0.02
P47T_persona,q90,M24,2003-08-15,2023-10-29 01:35:56.081291,False,cuyo,295840.0,0.02
Pobreza,sum,M24,2023-02-15,2023-10-29 13:12:57.591619,False,noreste,629600.0,0.02
Pobreza,mean,M24,2003-08-15,2023-10-29 01:35:56.081291,False,cuyo,0.5575,0.02
Pobreza,sum,M24,2023-02-15,2023-10-29 13:12:57.591619,False,pampeana,1247050.0,0.02
Pobreza,sum,M24,2003-08-15,2023-10-29 01:35:56.081291,False,cuyo,415000.0,0.02
Pobreza,sum,M24,2023-02-15,2023-10-29 13:12:57.591619,True,cuyo,370450.0,0.02
Total,mean,M24,2003-08-15,2023-10-29 01:35:56.081291,False,cuyo,1.0,0.02
Pobreza,sum,M24,2023-02-15,2023-10-29 13:12:57.591619,True,noreste,254050.0,0.02
Total,sum,M24,2003-08-15,2023-10-29 01:35:56.081291,False,cuyo,744350.0,0.02
Pobreza,sum,M24,2023-02-15,2023-10-29 13:12:57.591619,True,pampeana,1023300.0,0.02
gap_indigencia,mean,M24,2003-08-15,2023-10-29 01:35:56.081291,False,cuyo,197830.0,0.02
Indigencia,mean,M24,2023-02-15,2023-10-29 13:12:57.591619,False,cuyo,0.0742,0.02
gap_indigencia,median,M24,2003-08-15,2023-10-29 01:35:56.081291,False,cuyo,142380.0,0.02
Indigencia,mean,M24,2023-02-15,2023-10-29 13:12:57.591619,False,noreste,0.1316,0.02
gap_pobreza,mean,M24,2003-08-15,2023-10-29 01:35:56.081291,False,cuyo,-9430.0,0.02
Indigencia,mean,M24,2023-02-15,2023-10-29 13:12:57.591619,False,pampeana,0.0479,0.02
gap_pobreza,median,M24,2003-08-15,2023-10-29 01:35:56.081291,False,cuyo,-33660.0,0.02
Indigencia,mean,M24,2023-02-15,2023-10-29 13:12:57.591619,True,cuyo,0.0496,0.02
CBA,mean,M24,2003-08-15,2023-10-29 01:35:56.081291,False,gran_buenos_aires,117510.0,0.02
Indigencia,mean,M24,2023-02-15,2023-10-29 13:12:57.591619,True,noreste,0.0688,0.02
CBA,median,M24,2003-08-15,2023-10-29 01:35:56.081291,False,gran_buenos_aires,102550.0,0.02
Indigencia,mean,M24,2023-02-15,2023-10-29 13:12:57.591619,True,pampeana,0.0441,0.02
CBT,mean,M24,2003-08-15,2023-10-29 01:35:56.081291,False,gran_buenos_aires,281260.0,0.02
Indigencia,sum,M24,2023-02-15,2023-10-29 13:12:57.591619,False,cuyo,70550.0,0.02
CBT,median,M24,2003-08-15,2023-10-29 01:35:56.081291,False,gran_buenos_aires,245445.0,0.02
Indigencia,sum,M24,2023-02-15,2023-10-29 13:12:57.591619,False,noreste,183800.0,0.02
CB_EQUIV,mean,M24,2003-08-15,2023-10-29 01:35:56.081291,False,gran_buenos_aires,2.584,0.02
Indigencia,sum,M24,2023-02-15,2023-10-29 13:12:57.591619,False,pampeana,237800.0,0.02
CB_EQUIV,median,M24,2003-08-15,2023-10-29 01:35:56.081291,False,gran_buenos_aires,2.255,0.02
Indigencia,sum,M24,2023-02-15,2023-10-29 13:12:57.591619,True,cuyo,58100.0,0.02
Indigencia,mean,M24,2003-08-15,2023-10-29 01:35:56.081291,False,gran_buenos_aires,0.0749,0.02
Indigencia,sum,M24,2023-02-15,2023-10-29 13:12:57.591619,True,noreste,53950.0,0.02
Indigencia,sum,M24,2003-08-15,2023-10-29 01:35:56.081291,False,gran_buenos_aires,2950.0,0.02
Indigencia,sum,M24,2023-02-15,2023-10-29 13:12:57.591619,True,pampeana,197150.0,0.02
P47T_hogar,mean,M24,2003-08-15,2023-10-29 01:35:56.081291,False,gran_buenos_aires,688040.0,0.02
P47T_persona,mean,M24,2023-02-15,2023-10-29 13:12:57.591619,False,cuyo,167820.0,0.02
P47T_hogar,median,M24,2003-08-15,2023-10-29 01:35:56.081291,False,gran_buenos_aires,521420.0,0.02
P47T_persona,mean,M24,2023-02-15,2023-10-29 13:12:57.591619,False,noreste,152360.0,0.02
P47T_hogar,q10,M24,2003-08-15,2023-10-29 01:35:56.081291,False,gran_buenos_aires,138360.0,0.02
P47T_persona,mean,M24,2023-02-15,2023-10-29 13:12:57.591619,False,pampeana,203140.0,0.02
P47T_hogar,q25,M24,2003-08-15,2023-10-29 01:35:56.081291,False,gran_buenos_aires,282580.0,0.02
P47T_persona,mean,M24,2023-02-15,2023-10-29 13:12:57.591619,True,cuyo,190670.0,0.02
P47T_hogar,q75,M24,2003-08-15,2023-10-29 01:35:56.081291,False,gran_buenos_aires,918490.0,0.02
P47T_persona,mean,M24,2023-02-15,2023-10-29 13:12:57.591619,True,noreste,171370.0,0.02
P47T_hogar,q90,M24,2003-08-15,2023-10-29 01:35:56.081291,False,gran_buenos_aires,1483810.0,0.02
P47T_persona,mean,M24,2023-02-15,2023-10-29 13:12:57.591619,True,pampeana,226230.0,0.02
P47T_persona,mean,M24,2003-08-15,2023-10-29 01:35:56.081291,False,gran_buenos_aires,302020.0,0.02
P47T_persona,q10,M24,2023-02-15,2023-10-29 13:12:57.591619,False,cuyo,25150.0,0.02
P47T_persona,median,M24,2003-08-15,2023-10-29 01:35:56.081291,False,gran_buenos_aires,243400.0,0.02
P47T_persona,q10,M24,2023-02-15,2023-10-29 13:12:57.591619,False,noreste,23470.0,0.02
P47T_persona,q10,M24,2003-08-15,2023-10-29 01:35:56.081291,False,gran_buenos_aires,0.0,0.02
P47T_persona,q10,M24,2023-02-15,2023-10-29 13:12:57.591619,False,pampeana,26340.0,0.02
P47T_persona,q25,M24,2003-08-15,2023-10-29 01:35:56.081291,False,gran_buenos_aires,107390.0,0.02
P47T_persona,q10,M24,2023-02-15,2023-10-29 13:12:57.591619,True,cuyo,0.0,0.02
P47T_persona,q75,M24,2003-08-15,2023-10-29 01:35:56.081291,False,gran_buenos_aires,390010.0,0.02
P47T_persona,q10,M24,2023-02-15,2023-10-29 13:12:57.591619,True,noreste,25150.0,0.02
P47T_persona,q90,M24,2003-08-15,2023-10-29 01:35:56.081291,False,gran_buenos_aires,677780.0,0.02
P47T_persona,q10,M24,2023-02-15,2023-10-29 13:12:57.591619,True,pampeana,23470.0,0.02
Pobreza,mean,M24,2003-08-15,2023-10-29 01:35:56.081291,False,gran_buenos_aires,0.1561,0.02
P47T_persona,q25,M24,2023-02-15,2023-10-29 13:12:57.591619,False,cuyo,85300.0,0.02
Pobreza,sum,M24,2003-08-15,2023-10-29 01:35:56.081291,False,gran_buenos_aires,6150.0,0.02
P47T_persona,q25,M24,2023-02-15,2023-10-29 13:12:57.591619,False,noreste,77790.0,0.02
Total,mean,M24,2003-08-15,2023-10-29 01:35:56.081291,False,gran_buenos_aires,1.0,0.02
P47T_persona,q25,M24,2023-02-15,2023-10-29 13:12:57.591619,False,pampeana,117760.0,0.02
Total,sum,M24,2003-08-15,2023-10-29 01:35:56.081291,False,gran_buenos_aires,39400.0,0.02
P47T_persona,q25,M24,2023-02-15,2023-10-29 13:12:57.591619,True,cuyo,100220.0,0.02
gap_indigencia,mean,M24,2003-08-15,2023-10-29 01:35:56.081291,False,gran_buenos_aires,570530.0,0.02
P47T_persona,q25,M24,2023-02-15,2023-10-29 13:12:57.591619,True,noreste,85300.0,0.02
gap_indigencia,median,M24,2003-08-15,2023-10-29 01:35:56.081291,False,gran_buenos_aires,411805.0,0.02
P47T_persona,q25,M24,2023-02-15,2023-10-29 13:12:57.591619,True,pampeana,123310.0,0.02
gap_pobreza,mean,M24,2003-08-15,2023-10-29 01:35:56.081291,False,gran_buenos_aires,406790.0,0.02
P47T_persona,median,M24,2023-02-15,2023-10-29 13:12:57.591619,False,cuyo,148260.0,0.02
gap_pobreza,median,M24,2003-08-15,2023-10-29 01:35:56.081291,False,gran_buenos_aires,285075.0,0.02
P47T_persona,median,M24,2023-02-15,2023-10-29 13:12:57.591619,False,noreste,120500.0,0.02
CBA,mean,M24,2003-08-15,2023-10-29 01:35:56.081291,False,noreste,138470.0,0.02
P47T_persona,median,M24,2023-02-15,2023-10-29 13:12:57.591619,False,pampeana,186650.0,0.02
CBA,median,M24,2003-08-15,2023-10-29 01:35:56.081291,False,noreste,127410.0,0.02
P47T_persona,median,M24,2023-02-15,2023-10-29 13:12:57.591619,True,cuyo,178250.0,0.02
CBT,mean,M24,2003-08-15,2023-10-29 01:35:56.081291,False,noreste,310260.0,0.02
P47T_persona,median,M24,2023-02-15,2023-10-29 13:12:57.591619,True,noreste,151710.0,0.02
CBT,median,M24,2003-08-15,2023-10-29 01:35:56.081291,False,noreste,285470.0,0.02
