observable,sintetico,base,Q,timestamp,AGLOSI,valor,frac
CBA,mean,H,2003-08-15,2023-10-29 01:35:59.189709,False,116060.0,0.02
Total,mean,H,2023-02-15,2023-10-29 13:13:15.538016,False,1.0,0.02
CBA,median,H,2003-08-15,2023-10-29 01:35:59.189709,False,106650.0,0.02
Total,sum,H,2023-02-15,2023-10-29 13:13:15.538016,False,5060950.0,0.02
CBT,mean,H,2003-08-15,2023-10-29 01:35:59.189709,False,276950.0,0.02
Pobreza,mean,H,2023-02-15,2023-10-29 13:13:15.538016,False,0.3437,0.02
CBT,median,H,2003-08-15,2023-10-29 01:35:59.189709,False,254490.0,0.02
Pobreza,sum,H,2023-02-15,2023-10-29 13:13:15.538016,False,1739450.0,0.02
CB_EQUIV,mean,H,2003-08-15,2023-10-29 01:35:59.189709,False,2.688,0.02
Indigencia,mean,H,2023-02-15,2023-10-29 13:13:15.538016,False,0.0907,0.02
CB_EQUIV,median,H,2003-08-15,2023-10-29 01:35:59.189709,False,2.46,0.02
Indigencia,sum,H,2023-02-15,2023-10-29 13:13:15.538016,False,459150.0,0.02
Indigencia,mean,H,2003-08-15,2023-10-29 01:35:59.189709,False,0.2415,0.02
P47T_hogar,mean,H,2023-02-15,2023-10-29 13:13:15.538016,False,391740.0,0.02
Indigencia,sum,H,2003-08-15,2023-10-29 01:35:59.189709,False,982150.0,0.02
P47T_hogar,q10,H,2023-02-15,2023-10-29 13:13:15.538016,False,117760.0,0.02
P47T_hogar,mean,H,2003-08-15,2023-10-29 01:35:59.189709,False,295220.0,0.02
P47T_hogar,q25,H,2023-02-15,2023-10-29 13:13:15.538016,False,195450.0,0.02
P47T_hogar,median,H,2003-08-15,2023-10-29 01:35:59.189709,False,224410.0,0.02
P47T_hogar,median,H,2023-02-15,2023-10-29 13:13:15.538016,False,324390.0,0.02
P47T_hogar,q10,H,2003-08-15,2023-10-29 01:35:59.189709,False,40810.0,0.02
P47T_hogar,q75,H,2023-02-15,2023-10-29 13:13:15.538016,False,506520.0,0.02
P47T_hogar,q25,H,2003-08-15,2023-10-29 01:35:59.189709,False,95710.0,0.02
P47T_hogar,q90,H,2023-02-15,2023-10-29 13:13:15.538016,False,707590.0,0.02
P47T_hogar,q75,H,2003-08-15,2023-10-29 01:35:59.189709,False,393490.0,0.02
CB_EQUIV,mean,H,2023-02-15,2023-10-29 13:13:15.538016,False,2.71,0.02
P47T_hogar,q90,H,2003-08-15,2023-10-29 01:35:59.189709,False,600920.0,0.02
CB_EQUIV,median,H,2023-02-15,2023-10-29 13:13:15.538016,False,2.47,0.02
Pobreza,mean,H,2003-08-15,2023-10-29 01:35:59.189709,False,0.5188,0.02
CBA,mean,H,2023-02-15,2023-10-29 13:13:15.538016,False,129860.0,0.02
Pobreza,sum,H,2003-08-15,2023-10-29 01:35:59.189709,False,2109600.0,0.02
CBA,median,H,2023-02-15,2023-10-29 13:13:15.538016,False,118870.0,0.02
Total,mean,H,2003-08-15,2023-10-29 01:35:59.189709,False,1.0,0.02
gap_indigencia,mean,H,2023-02-15,2023-10-29 13:13:15.538016,False,261880.0,0.02
Total,sum,H,2003-08-15,2023-10-29 01:35:59.189709,False,4066350.0,0.02
gap_indigencia,median,H,2023-02-15,2023-10-29 13:13:15.538016,False,202010.0,0.02
gap_indigencia,mean,H,2003-08-15,2023-10-29 01:35:59.189709,False,179160.0,0.02
CBT,mean,H,2023-02-15,2023-10-29 13:13:15.538016,False,287450.0,0.02
gap_indigencia,median,H,2003-08-15,2023-10-29 01:35:59.189709,False,114800.0,0.02
CBT,median,H,2023-02-15,2023-10-29 13:13:15.538016,False,261920.0,0.02
gap_pobreza,mean,H,2003-08-15,2023-10-29 01:35:59.189709,False,18270.0,0.02
gap_pobreza,mean,H,2023-02-15,2023-10-29 13:13:15.538016,False,104290.0,0.02
gap_pobreza,median,H,2003-08-15,2023-10-29 01:35:59.189709,False,-9430.0,0.02
gap_pobreza,median,H,2023-02-15,2023-10-29 13:13:15.538016,False,79360.0,0.02
CBA,mean,H,2003-11-15,2023-10-29 01:37:03.308804,False,116060.0,0.02
CBA,median,H,2003-11-15,2023-10-29 01:37:03.308804,False,106650.0,0.02
CBT,mean,H,2003-11-15,2023-10-29 01:37:03.308804,False,276950.0,0.02
CBT,median,H,2003-11-15,2023-10-29 01:37:03.308804,False,254490.0,0.02
CB_EQUIV,mean,H,2003-11-15,2023-10-29 01:37:03.308804,False,2.688,0.02
CB_EQUIV,median,H,2003-11-15,2023-10-29 01:37:03.308804,False,2.46,0.02
Indigencia,mean,H,2003-11-15,2023-10-29 01:37:03.308804,False,0.231,0.02
Indigencia,sum,H,2003-11-15,2023-10-29 01:37:03.308804,False,939300.0,0.02
P47T_hogar,mean,H,2003-11-15,2023-10-29 01:37:03.308804,False,286710.0,0.02
P47T_hogar,median,H,2003-11-15,2023-10-29 01:37:03.308804,False,214310.0,0.02
P47T_hogar,q10,H,2003-11-15,2023-10-29 01:37:03.308804,False,52580.0,0.02
P47T_hogar,q25,H,2003-11-15,2023-10-29 01:37:03.308804,False,103260.0,0.02
P47T_hogar,q75,H,2003-11-15,2023-10-29 01:37:03.308804,False,380840.0,0.02
P47T_hogar,q90,H,2003-11-15,2023-10-29 01:37:03.308804,False,577990.0,0.02
Pobreza,mean,H,2003-11-15,2023-10-29 01:37:03.308804,False,0.529,0.02
Pobreza,sum,H,2003-11-15,2023-10-29 01:37:03.308804,False,2151100.0,0.02
Total,mean,H,2003-11-15,2023-10-29 01:37:03.308804,False,1.0,0.02
Total,sum,H,2003-11-15,2023-10-29 01:37:03.308804,False,4066350.0,0.02
gap_indigencia,mean,H,2003-11-15,2023-10-29 01:37:03.308804,False,170650.0,0.02
gap_indigencia,median,H,2003-11-15,2023-10-29 01:37:03.308804,False,112890.0,0.02
gap_pobreza,mean,H,2003-11-15,2023-10-29 01:37:03.308804,False,9760.0,0.02
gap_pobreza,median,H,2003-11-15,2023-10-29 01:37:03.308804,False,-14010.0,0.02
CBA,mean,H,2004-02-15,2023-10-29 01:38:17.056458,False,115990.0,0.02
CBA,median,H,2004-02-15,2023-10-29 01:38:17.056458,False,106810.0,0.02
CBT,mean,H,2004-02-15,2023-10-29 01:38:17.056458,False,276810.0,0.02
CBT,median,H,2004-02-15,2023-10-29 01:38:17.056458,False,254460.0,0.02
CB_EQUIV,mean,H,2004-02-15,2023-10-29 01:38:17.056458,False,2.686,0.02
CB_EQUIV,median,H,2004-02-15,2023-10-29 01:38:17.056458,False,2.46,0.02
Indigencia,mean,H,2004-02-15,2023-10-29 01:38:17.056458,False,0.2169,0.02
Indigencia,sum,H,2004-02-15,2023-10-29 01:38:17.056458,False,891000.0,0.02
