observable,sintetico,base,Q,timestamp,Total,valor,frac
CBA,mean,H,2003-08-15,2023-10-29 01:35:58.707096,True,115300.0,0.02
Total,mean,H,2023-02-15,2023-10-29 13:13:14.936512,True,1.0,0.02
CBA,median,H,2003-08-15,2023-10-29 01:35:58.707096,True,105500.0,0.02
Pobreza,mean,H,2023-02-15,2023-10-29 13:13:14.936512,True,0.2887,0.02
CBT,mean,H,2003-08-15,2023-10-29 01:35:58.707096,True,275650.0,0.02
Indigencia,mean,H,2023-02-15,2023-10-29 13:13:14.936512,True,0.0717,0.02
CBT,median,H,2003-08-15,2023-10-29 01:35:58.707096,True,252520.0,0.02
P47T_hogar,mean,H,2023-02-15,2023-10-29 13:13:14.936512,True,443290.0,0.02
CB_EQUIV,mean,H,2003-08-15,2023-10-29 01:35:58.707096,True,2.627,0.02
P47T_hogar,q25,H,2023-02-15,2023-10-29 13:13:14.936512,True,219300.0,0.02
CB_EQUIV,median,H,2003-08-15,2023-10-29 01:35:58.707096,True,2.41,0.02
P47T_hogar,q75,H,2023-02-15,2023-10-29 13:13:14.936512,True,570030.0,0.02
Indigencia,mean,H,2003-08-15,2023-10-29 01:35:58.707096,True,0.1836,0.02
CB_EQUIV,mean,H,2023-02-15,2023-10-29 13:13:14.936512,True,2.656,0.02
Indigencia,sum,H,2003-08-15,2023-10-29 01:35:58.707096,True,2060750.0,0.02
CBA,mean,H,2023-02-15,2023-10-29 13:13:14.936512,True,129260.0,0.02
P47T_hogar,mean,H,2003-08-15,2023-10-29 01:35:58.707096,True,375700.0,0.02
gap_indigencia,mean,H,2023-02-15,2023-10-29 13:13:14.936512,True,314030.0,0.02
P47T_hogar,median,H,2003-08-15,2023-10-29 01:35:58.707096,True,286870.0,0.02
CBT,mean,H,2023-02-15,2023-10-29 13:13:14.936512,True,286410.0,0.02
P47T_hogar,q10,H,2003-08-15,2023-10-29 01:35:58.707096,True,57660.0,0.02
gap_pobreza,mean,H,2023-02-15,2023-10-29 13:13:14.936512,True,156880.0,0.02
P47T_hogar,q25,H,2003-08-15,2023-10-29 01:35:58.707096,True,135210.0,0.02
P47T_hogar,q75,H,2003-08-15,2023-10-29 01:35:58.707096,True,491000.0,0.02
P47T_hogar,q90,H,2003-08-15,2023-10-29 01:35:58.707096,True,751740.0,0.02
Pobreza,mean,H,2003-08-15,2023-10-29 01:35:58.707096,True,0.4221,0.02
Pobreza,sum,H,2003-08-15,2023-10-29 01:35:58.707096,True,4737000.0,0.02
Total,mean,H,2003-08-15,2023-10-29 01:35:58.707096,True,1.0,0.02
Total,sum,H,2003-08-15,2023-10-29 01:35:58.707096,True,11223650.0,0.02
gap_indigencia,mean,H,2003-08-15,2023-10-29 01:35:58.707096,True,260400.0,0.02
gap_indigencia,median,H,2003-08-15,2023-10-29 01:35:58.707096,True,169780.0,0.02
gap_pobreza,mean,H,2003-08-15,2023-10-29 01:35:58.707096,True,100050.0,0.02
gap_pobreza,median,H,2003-08-15,2023-10-29 01:35:58.707096,True,41150.0,0.02
CBA,mean,H,2003-11-15,2023-10-29 01:37:03.016427,True,115300.0,0.02
CBA,median,H,2003-11-15,2023-10-29 01:37:03.016427,True,105500.0,0.02
CBT,mean,H,2003-11-15,2023-10-29 01:37:03.016427,True,275650.0,0.02
CBT,median,H,2003-11-15,2023-10-29 01:37:03.016427,True,252520.0,0.02
CB_EQUIV,mean,H,2003-11-15,2023-10-29 01:37:03.016427,True,2.627,0.02
CB_EQUIV,median,H,2003-11-15,2023-10-29 01:37:03.016427,True,2.41,0.02
Indigencia,mean,H,2003-11-15,2023-10-29 01:37:03.016427,True,0.1749,0.02
Indigencia,sum,H,2003-11-15,2023-10-29 01:37:03.016427,True,1962650.0,0.02
