observable,sintetico,base,Q,timestamp,Total,valor,frac
CBA,mean,Hp,2003-08-15,2023-10-29 01:36:06.126722,True,138590.0,0.02
Total,mean,Hp,2023-02-15,2023-10-29 13:15:16.138352,True,1.0,0.02
CBA,median,Hp,2003-08-15,2023-10-29 01:36:06.126722,True,130110.0,0.02
Pobreza,mean,Hp,2023-02-15,2023-10-29 13:15:16.138352,True,1.0,0.02
CBT,mean,Hp,2003-08-15,2023-10-29 01:36:06.126722,True,329730.0,0.02
Indigencia,mean,Hp,2023-02-15,2023-10-29 13:15:16.138352,True,0.2484,0.02
CBT,median,Hp,2003-08-15,2023-10-29 01:36:06.126722,True,308410.0,0.02
P47T_hogar,mean,Hp,2023-02-15,2023-10-29 13:15:16.138352,True,229540.0,0.02
CB_EQUIV,mean,Hp,2003-08-15,2023-10-29 01:36:06.126722,True,3.186,0.02
P47T_hogar,q25,Hp,2023-02-15,2023-10-29 13:15:16.138352,True,126180.0,0.02
CB_EQUIV,median,Hp,2003-08-15,2023-10-29 01:36:06.126722,True,3.0,0.02
P47T_hogar,q75,Hp,2023-02-15,2023-10-29 13:15:16.138352,True,310700.0,0.02
Indigencia,mean,Hp,2003-08-15,2023-10-29 01:36:06.126722,True,0.435,0.02
CB_EQUIV,mean,Hp,2023-02-15,2023-10-29 13:15:16.138352,True,3.479,0.02
Indigencia,sum,Hp,2003-08-15,2023-10-29 01:36:06.126722,True,2060750.0,0.02
CBA,mean,Hp,2023-02-15,2023-10-29 13:15:16.138352,True,167470.0,0.02
P47T_hogar,mean,Hp,2003-08-15,2023-10-29 01:36:06.126722,True,158370.0,0.02
gap_indigencia,mean,Hp,2023-02-15,2023-10-29 13:15:16.138352,True,62070.0,0.02
P47T_hogar,median,Hp,2003-08-15,2023-10-29 01:36:06.126722,True,131310.0,0.02
CBT,mean,Hp,2023-02-15,2023-10-29 13:15:16.138352,True,369630.0,0.02
P47T_hogar,q10,Hp,2003-08-15,2023-10-29 01:36:06.126722,True,0.0,0.02
gap_pobreza,mean,Hp,2023-02-15,2023-10-29 13:15:16.138352,True,-140090.0,0.02
P47T_hogar,q25,Hp,2003-08-15,2023-10-29 01:36:06.126722,True,59000.0,0.02
P47T_hogar,q75,Hp,2003-08-15,2023-10-29 01:36:06.126722,True,234990.0,0.02
P47T_hogar,q90,Hp,2003-08-15,2023-10-29 01:36:06.126722,True,339680.0,0.02
Pobreza,mean,Hp,2003-08-15,2023-10-29 01:36:06.126722,True,1.0,0.02
Pobreza,sum,Hp,2003-08-15,2023-10-29 01:36:06.126722,True,4737000.0,0.02
Total,mean,Hp,2003-08-15,2023-10-29 01:36:06.126722,True,1.0,0.02
Total,sum,Hp,2003-08-15,2023-10-29 01:36:06.126722,True,4737000.0,0.02
gap_indigencia,mean,Hp,2003-08-15,2023-10-29 01:36:06.126722,True,19780.0,0.02
gap_indigencia,median,Hp,2003-08-15,2023-10-29 01:36:06.126722,True,18000.0,0.02
gap_pobreza,mean,Hp,2003-08-15,2023-10-29 01:36:06.126722,True,-171360.0,0.02
gap_pobreza,median,Hp,2003-08-15,2023-10-29 01:36:06.126722,True,-137540.0,0.02
CBA,mean,Hp,2003-11-15,2023-10-29 01:37:12.038661,True,138380.0,0.02
CBA,median,Hp,2003-11-15,2023-10-29 01:37:12.038661,True,130060.0,0.02
CBT,mean,Hp,2003-11-15,2023-10-29 01:37:12.038661,True,329510.0,0.02
CBT,median,Hp,2003-11-15,2023-10-29 01:37:12.038661,True,308920.0,0.02
CB_EQUIV,mean,Hp,2003-11-15,2023-10-29 01:37:12.038661,True,3.182,0.02
CB_EQUIV,median,Hp,2003-11-15,2023-10-29 01:37:12.038661,True,2.99,0.02
Indigencia,mean,Hp,2003-11-15,2023-10-29 01:37:12.038661,True,0.4056,0.02
Indigencia,sum,Hp,2003-11-15,2023-10-29 01:37:12.038661,True,1962650.0,0.02
