observable,sintetico,base,Q,timestamp,AGLOSI,PROV,valor,frac
CBA,mean,PAGLO,2003-08-15,2023-10-29 01:35:41.382744,True,2,177720.0,0.02
Total,mean,PAGLO,2023-02-15,2023-10-29 13:09:37.066950,True,2,1.0,0.02
CBA,median,PAGLO,2003-08-15,2023-10-29 01:35:41.382744,True,2,114600.0,0.02
Total,mean,PAGLO,2023-02-15,2023-10-29 13:09:37.066950,True,10,1.0,0.02
CBT,mean,PAGLO,2003-08-15,2023-10-29 01:35:41.382744,True,2,425360.0,0.02
Total,mean,PAGLO,2023-02-15,2023-10-29 13:09:37.066950,True,18,1.0,0.02
CBT,median,PAGLO,2003-08-15,2023-10-29 01:35:41.382744,True,2,274290.0,0.02
Total,mean,PAGLO,2023-02-15,2023-10-29 13:09:37.066950,True,26,1.0,0.02
CB_EQUIV,mean,PAGLO,2003-08-15,2023-10-29 01:35:41.382744,True,2,3.908,0.02
Total,mean,PAGLO,2023-02-15,2023-10-29 13:09:37.066950,True,34,1.0,0.02
CB_EQUIV,median,PAGLO,2003-08-15,2023-10-29 01:35:41.382744,True,2,2.52,0.02
Total,mean,PAGLO,2023-02-15,2023-10-29 13:09:37.066950,True,42,1.0,0.02
Indigencia,mean,PAGLO,2003-08-15,2023-10-29 01:35:41.382744,True,2,0.0697,0.02
Total,mean,PAGLO,2023-02-15,2023-10-29 13:09:37.066950,True,50,1.0,0.02
Indigencia,sum,PAGLO,2003-08-15,2023-10-29 01:35:41.382744,True,2,190700.0,0.02
Total,mean,PAGLO,2023-02-15,2023-10-29 13:09:37.066950,True,58,1.0,0.02
P47T_hogar,mean,PAGLO,2003-08-15,2023-10-29 01:35:41.382744,True,2,1167790.0,0.02
Total,mean,PAGLO,2023-02-15,2023-10-29 13:09:37.066950,True,66,1.0,0.02
P47T_hogar,median,PAGLO,2003-08-15,2023-10-29 01:35:41.382744,True,2,531770.0,0.02
Total,mean,PAGLO,2023-02-15,2023-10-29 13:09:37.066950,True,74,1.0,0.02
P47T_hogar,q10,PAGLO,2003-08-15,2023-10-29 01:35:41.382744,True,2,149930.0,0.02
Total,mean,PAGLO,2023-02-15,2023-10-29 13:09:37.066950,True,82,1.0,0.02
